Year Mnth Day Hr,PRCP(mm/day),SRAD(W/m2),Tmax(C),Tmin(C)
1999 04 21 12,0.07,532.62,15.42,15.42
1999 04 22 12,0,514.76,16.92,16.92
1999 04 23 12,0,468.39,17.46,17.46
1999 04 24 12,0.03,494.72,18.42,18.42
1999 04 25 12,1.25,332.48,13.29,13.29
1999 04 26 12,4.36,293.76,12.88,12.88
1999 04 27 12,9.97,364.25,17.25,17.25
1999 04 28 12,4.91,428.6,16.1,16.1
1999 04 29 12,10.57,182.28,8.94,8.94
1999 04 30 12,14.94,254.45,6.41,6.41
1999 05 01 12,0,575.03,7.97,7.97
1999 05 02 12,0.25,596.76,10.7,10.7
1999 05 03 12,0,578.2,12.84,12.84
1999 05 04 12,0,398.19,16.12,16.12
1999 05 05 12,11.13,291.82,15.42,15.42
1999 05 06 12,48.95,307.36,16.5,16.5
1999 05 07 12,13.9,402.1,16.64,16.64
1999 05 08 12,13.28,578.67,15.99,15.99
1999 05 09 12,0,570.47,16.04,16.04
1999 05 10 12,0,564.28,18.42,18.42
1999 05 11 12,0.01,524.29,18.2,18.2
1999 05 12 12,1.11,439.67,17.33,17.33
1999 05 13 12,2.49,411.74,16.22,16.22
1999 05 14 12,5.06,410.88,15.94,15.94
1999 05 15 12,1.71,478.88,12.99,12.99
1999 05 16 12,0.37,563.35,14.12,14.12
1999 05 17 12,0,566.74,16.27,16.27
1999 05 18 12,3.26,369.57,17.1,17.1
1999 05 19 12,8.21,586.18,16.73,16.73
1999 05 20 12,0,571.04,14.76,14.76
1999 05 21 12,0,573.54,17.62,17.62
1999 05 22 12,1.32,477.08,18.99,18.99
1999 05 23 12,1.38,554.68,19.27,19.27
1999 05 24 12,1.58,590.34,18.38,18.38
1999 05 25 12,0,459.65,14.65,14.65
1999 05 26 12,4.22,314.17,15.47,15.47
1999 05 27 12,0.07,579.33,14.84,14.84
1999 05 28 12,0,552.48,16.34,16.34
1999 05 29 12,0,456.76,18.87,18.87
1999 05 30 12,0,491.91,19.97,19.97
1999 05 31 12,0,490.16,18.81,18.81
1999 06 01 12,0,310.05,18.69,18.69
1999 06 02 12,0.89,408.69,20.14,20.14
1999 06 03 12,13,425.41,20.85,20.85
1999 06 04 12,0.11,494.08,21.3,21.3
1999 06 05 12,0.36,449.05,20.92,20.92
1999 06 06 12,0.29,516.88,20.78,20.78
1999 06 07 12,0.11,558.42,21.34,21.34
1999 06 08 12,0.9,549.7,22.77,22.77
1999 06 09 12,2.42,509.17,24.03,24.03
1999 06 10 12,8.45,462.45,23.49,23.49
1999 06 11 12,0.32,414.12,21.39,21.39
1999 06 12 12,0.55,476.08,20.53,20.53
1999 06 13 12,0.01,510.1,20.8,20.8
1999 06 14 12,0.87,329.15,20.46,20.46
1999 06 15 12,14.93,363.89,20.33,20.33
1999 06 16 12,45.58,318.75,18.66,18.66
1999 06 17 12,1.36,520.47,18.28,18.28
1999 06 18 12,0.15,497.25,17.14,17.14
1999 06 19 12,0,560.86,17.05,17.05
1999 06 20 12,0,493.37,16.97,16.97
1999 06 21 12,0,553.12,17.27,17.27
1999 06 22 12,2.06,384.6,19.89,19.89
1999 06 23 12,0.4,417.36,20.19,20.19
1999 06 24 12,20.8,269.45,18.91,18.91
1999 06 25 12,27.43,263.36,19.07,19.07
1999 06 26 12,7.72,333.12,20.49,20.49
1999 06 27 12,9.46,272.27,19.82,19.82
1999 06 28 12,7.25,325.95,20.51,20.51
1999 06 29 12,16.51,354.31,21.9,21.9
1999 06 30 12,0.07,518.8,22.13,22.13
1999 07 01 12,0.66,456.34,22.46,22.46
1999 07 02 12,6.21,408.92,22.54,22.54
1999 07 03 12,4.23,398.95,22.5,22.5
1999 07 04 12,0.86,502.17,23.2,23.2
1999 07 05 12,3.18,464.6,24.22,24.22
1999 07 06 12,1.44,508.1,25.04,25.04
1999 07 07 12,5.67,415.62,24.05,24.05
1999 07 08 12,8.97,513.47,23.45,23.45
1999 07 09 12,0.12,517.68,23.81,23.81
1999 07 10 12,7.24,342.33,21.33,21.33
1999 07 11 12,20.63,326.49,20.26,20.26
1999 07 12 12,15.13,161.19,18.17,18.17
1999 07 13 12,0.14,347.41,17.21,17.21
1999 07 14 12,2.76,490.49,18.56,18.56
1999 07 15 12,0,418.66,21.69,21.69
1999 07 16 12,0.04,408.43,22.2,22.2
1999 07 17 12,1.33,441.62,22.48,22.48
1999 07 18 12,1.53,495.5,22.58,22.58
1999 07 19 12,0.14,476.47,23.47,23.47
1999 07 20 12,1.08,524.21,24.14,24.14
1999 07 21 12,0.29,533.29,24.3,24.3
1999 07 22 12,7.81,465.33,24.79,24.79
1999 07 23 12,0.04,518.03,25.65,25.65
1999 07 24 12,7.68,439.56,26.84,26.84
1999 07 25 12,0.09,567.83,24.8,24.8
1999 07 26 12,0.03,571.58,24.51,24.51
1999 07 27 12,1.8,516.25,24.43,24.43
1999 07 28 12,0.25,523.19,25.46,25.46
1999 07 29 12,0.85,473.54,24.93,24.93
1999 07 30 12,0.01,568.49,26.1,26.1
1999 07 31 12,0,564.08,27.12,27.12
1999 08 01 12,0,519.93,26.66,26.66
1999 08 02 12,0.28,469.77,25.18,25.18
1999 08 03 12,0,534.46,22.56,22.56
1999 08 04 12,0,541.74,22.39,22.39
1999 08 05 12,0,566.75,23.23,23.23
1999 08 06 12,0,541.39,23.13,23.13
1999 08 07 12,0,568.19,24.21,24.21
1999 08 08 12,2.96,504.48,23.84,23.84
1999 08 09 12,0.88,545.91,23.49,23.49
1999 08 10 12,0.03,559.04,23.62,23.62
1999 08 11 12,0,549.68,24.47,24.47
1999 08 12 12,0.09,519.98,24.86,24.86
1999 08 13 12,1.25,516.47,26.56,26.56
1999 08 14 12,7.81,521.12,25.84,25.84
1999 08 15 12,0.06,534.66,23.05,23.05
1999 08 16 12,0.03,476.09,24.58,24.58
1999 08 17 12,0,545.29,25.04,25.04
1999 08 18 12,0,556.91,24.43,24.43
1999 08 19 12,0.37,433.18,23.46,23.46
1999 08 20 12,3.32,477.14,24.26,24.26
1999 08 21 12,0.03,556.27,23.43,23.43
1999 08 22 12,0,560.56,21.72,21.72
1999 08 23 12,6.38,300.31,21.47,21.47
1999 08 24 12,35.46,330,20.11,20.11
1999 08 25 12,8.19,358.17,20.12,20.12
1999 08 26 12,1.3,468.51,22.25,22.25
1999 08 27 12,0.02,536.23,22.01,22.01
1999 08 28 12,0.78,459.44,21.96,21.96
1999 08 29 12,0.77,542.13,23.41,23.41
1999 08 30 12,0.11,556.56,21.21,21.21
1999 08 31 12,0.11,558.8,17.83,17.83
1999 09 01 12,0,521.7,19.2,19.2
1999 09 02 12,0,525.3,20.83,20.83
1999 09 03 12,0,479.01,21.64,21.64
1999 09 04 12,0,504.46,21.77,21.77
1999 09 05 12,0,501.78,21.53,21.53
1999 09 06 12,0,491.16,22.11,22.11
1999 09 07 12,0,500.15,23.07,23.07
1999 09 08 12,0.13,492.24,23.11,23.11
1999 09 09 12,0.59,405.31,22.29,22.29
1999 09 10 12,0.05,519.56,19.08,19.08
1999 09 11 12,0,506.91,17.56,17.56
1999 09 12 12,0,455.25,18.97,18.97
1999 09 13 12,0,498.79,18.53,18.53
1999 09 14 12,0,485.78,19.75,19.75
1999 09 15 12,0,494.74,19.68,19.68
1999 09 16 12,0,512.63,16.56,16.56
1999 09 17 12,0,512.5,13.32,13.32
1999 09 18 12,0,488.32,15.68,15.68
1999 09 19 12,0.07,379.72,17.41,17.41
1999 09 20 12,0.13,382.76,17.74,17.74
1999 09 21 12,5.96,302.51,16.71,16.71
1999 09 22 12,0.04,506.81,12.67,12.67
1999 09 23 12,0,501.9,12.22,12.22
1999 09 24 12,0,488.32,14.71,14.71
1999 09 25 12,0,492.78,16.84,16.84
1999 09 26 12,0,449.09,18.23,18.23
1999 09 27 12,8,162.99,17.34,17.34
1999 09 28 12,51.99,178.8,14.38,14.38
1999 09 29 12,21.24,250.98,17.24,17.24
1999 09 30 12,5.18,489.81,12.55,12.55
1999 10 01 12,0.02,494.23,12.65,12.65
1999 10 02 12,0,491.47,14.29,14.29
1999 10 03 12,0,301.54,17.16,17.16
1999 10 04 12,43.54,233.52,17.69,17.69
1999 10 05 12,0.11,468.98,15.04,15.04
1999 10 06 12,0,457.02,14.95,14.95
1999 10 07 12,0,443.06,14.56,14.56
1999 10 08 12,0.02,267.59,13.47,13.47
1999 10 09 12,9.27,111.13,15.78,15.78
1999 10 10 12,84.36,221.2,18.07,18.07
1999 10 11 12,5.74,445.86,17.78,17.78
1999 10 12 12,0.88,365.93,16.41,16.41
1999 10 13 12,2.18,314.56,14.47,14.47
1999 10 14 12,2.57,454.25,15.93,15.93
1999 10 15 12,0.53,376.18,14.66,14.66
1999 10 16 12,0,442.35,15.22,15.22
1999 10 17 12,0,439.1,16.74,16.74
1999 10 18 12,0.08,435.46,14.78,14.78
1999 10 19 12,0.04,194.11,12.95,12.95
1999 10 20 12,25.32,163.32,11.02,11.02
1999 10 21 12,0.12,443.89,9.14,9.14
1999 10 22 12,0,433.38,10.27,10.27
1999 10 23 12,0.02,436.58,5.94,5.94
1999 10 24 12,0.01,441.66,2.58,2.58
1999 10 25 12,0,433.66,5.49,5.49
1999 10 26 12,0,429.64,7.86,7.86
1999 10 27 12,0,423.16,10.91,10.91
1999 10 28 12,0,418.5,13,13
1999 10 29 12,0,412.19,12.61,12.61
1999 10 30 12,0.09,336.93,13.18,13.18
1999 10 31 12,0.53,368.16,15.91,15.91
1999 11 01 12,18.84,245.49,15.67,15.67
1999 11 02 12,43.93,159.6,12.5,12.5
1999 11 03 12,0.67,387.64,2.25,2.25
1999 11 04 12,0,380.52,4.55,4.55
1999 11 05 12,0,373.74,7.54,7.54
1999 11 06 12,0,365.64,10.53,10.53
1999 11 07 12,0,359.01,12.49,12.49
1999 11 08 12,0,316.79,13.11,13.11
1999 11 09 12,0,343.77,14.92,14.92
1999 11 10 12,0,331.66,14.11,14.11
1999 11 11 12,0.32,278.54,14.65,14.65
1999 11 12 12,0.24,313.21,12.33,12.33
1999 11 13 12,0,348.42,11.99,11.99
1999 11 14 12,0,344.6,13.51,13.51
1999 11 15 12,0,358.81,9.8,9.8
1999 11 16 12,0,352.71,4.88,4.88
1999 11 17 12,0,353.55,3.58,3.58
1999 11 18 12,0,344.69,5.17,5.17
1999 11 19 12,0,331.29,8.29,8.29
1999 11 20 12,4.58,196.65,12.27,12.27
1999 11 21 12,6.06,282.27,13.19,13.19
1999 11 22 12,1.21,273.18,14.04,14.04
1999 11 23 12,0.59,275.17,14.32,14.32
1999 11 24 12,3.38,133.07,13.44,13.44
1999 11 25 12,42.09,97.7,12.6,12.6
1999 11 26 12,43.97,151.27,9.38,9.38
1999 11 27 12,0,325.8,7.23,7.23
1999 11 28 12,0,304.89,9.7,9.7
1999 11 29 12,0,324.06,9.19,9.19
1999 11 30 12,0,337.15,0.85,0.85
1999 12 01 12,0,344.09,-1.16,-1.16
1999 12 02 12,0,331.91,3.34,3.34
1999 12 03 12,0,327.32,5.68,5.68
1999 12 04 12,0,320.5,9.18,9.18
1999 12 05 12,0.14,152.75,8.77,8.77
1999 12 06 12,16.63,315.03,8.56,8.56
1999 12 07 12,0.03,336.39,3.38,3.38
1999 12 08 12,0.07,334.15,5,5
1999 12 09 12,0.11,151.85,7.05,7.05
1999 12 10 12,16.41,251.69,10.11,10.11
1999 12 11 12,0.05,324.24,7.55,7.55
1999 12 12 12,0.02,240.68,7.21,7.21
1999 12 13 12,24.95,142.76,10.85,10.85
1999 12 14 12,36.01,316.96,9.36,9.36
1999 12 15 12,0.15,297.52,4.85,4.85
1999 12 16 12,0,327.12,1.94,1.94
1999 12 17 12,0,324.53,2.8,2.8
1999 12 18 12,0,207.96,4.68,4.68
1999 12 19 12,0.02,109.13,6.06,6.06
1999 12 20 12,2.71,243.83,6.86,6.86
1999 12 21 12,10.11,84.29,6.4,6.4
1999 12 22 12,0.58,322.59,6.04,6.04
1999 12 23 12,0.34,322.46,2.3,2.3
1999 12 24 12,0,178.49,-1.23,-1.23
1999 12 25 12,0,327.37,-4.51,-4.51
1999 12 26 12,0,323.24,-1.31,-1.31
1999 12 27 12,0,319.91,-0.87,-0.87
1999 12 28 12,0,296.79,-1.69,-1.69
1999 12 29 12,0,324.62,-0.57,-0.57
1999 12 30 12,0,306,3.63,3.63
1999 12 31 12,0,313.29,7.97,7.97
2000 01 01 12,0,186.86,9.38,9.38
2000 01 02 12,0,296.58,11.6,11.6
2000 01 03 12,0.48,207.44,12.97,12.97
2000 01 04 12,18.44,128.49,12.09,12.09
2000 01 05 12,0,329.04,1.19,1.19
2000 01 06 12,0,315.6,0.3,0.3
2000 01 07 12,0,317.37,3.41,3.41
2000 01 08 12,0.08,231.06,4.07,4.07
2000 01 09 12,14.58,103.94,6.98,6.98
2000 01 10 12,42.54,310.87,10.45,10.45
2000 01 11 12,0,330.09,7.38,7.38
2000 01 12 12,0,321.99,7.96,7.96
2000 01 13 12,1.54,323.29,9.76,9.76
2000 01 14 12,0.17,342.18,-1.26,-1.26
2000 01 15 12,0,333.65,0.13,0.13
2000 01 16 12,1.13,159.7,3.07,3.07
2000 01 17 12,0.45,236.57,5.31,5.31
2000 01 18 12,10.59,248.37,4.1,4.1
2000 01 19 12,1.25,217.96,2.72,2.72
2000 01 20 12,7.36,318.68,0.75,0.75
2000 01 21 12,0,359.78,-5.76,-5.76
2000 01 22 12,1.38,111.71,-4.27,-4.27
2000 01 23 12,12.02,204.87,-1.05,-1.05
2000 01 24 12,4.12,233.91,0.16,0.16
2000 01 25 12,0.22,294.51,-3.3,-3.3
2000 01 26 12,0.01,365.75,-6.66,-6.66
2000 01 27 12,0.02,373.53,-6.32,-6.32
2000 01 28 12,0,300.99,-2.6,-2.6
2000 01 29 12,3.25,97.48,-1.67,-1.67
2000 01 30 12,13.47,154.57,-2,-2
2000 01 31 12,0.39,370.45,-4.96,-4.96
2000 02 01 12,0,372.89,-3.46,-3.46
2000 02 02 12,0.48,379.07,-2.35,-2.35
2000 02 03 12,0,380.67,0.1,0.1
2000 02 04 12,0,312.78,0.83,0.83
2000 02 05 12,0.03,385.51,-2.44,-2.44
2000 02 06 12,0,372.93,0.04,0.04
2000 02 07 12,0,347.39,2.02,2.02
2000 02 08 12,0,359.4,3.93,3.93
2000 02 09 12,0,386.33,3.7,3.7
2000 02 10 12,0,337.73,6.65,6.65
2000 02 11 12,0,375.9,9.85,9.85
2000 02 12 12,18.3,276.41,10.67,10.67
2000 02 13 12,1.64,212.6,6.9,6.9
2000 02 14 12,32.24,308.15,10.99,10.99
2000 02 15 12,0.01,401.78,5.81,5.81
2000 02 16 12,0,372.73,9.17,9.17
2000 02 17 12,0.07,252.54,7.74,7.74
2000 02 18 12,5.34,237.01,6.91,6.91
2000 02 19 12,5.5,354.13,11.9,11.9
2000 02 20 12,0,426.54,3,3
2000 02 21 12,0,427.57,2.7,2.7
2000 02 22 12,0.02,206.44,4.4,4.4
2000 02 23 12,0,359,7.87,7.87
2000 02 24 12,0,351.37,10.34,10.34
2000 02 25 12,0,415.24,13.29,13.29
2000 02 26 12,0,338.62,13.29,13.29
2000 02 27 12,13.71,193.76,12.18,12.18
2000 02 28 12,0.04,443.63,7.86,7.86
2000 02 29 12,0.02,434.88,9.1,9.1
2000 03 01 12,0,428.15,10.33,10.33
2000 03 02 12,0,463.75,9.51,9.51
2000 03 03 12,0.71,373.11,7.62,7.62
2000 03 04 12,3.29,313.26,8.61,8.61
2000 03 05 12,0,466.23,7.85,7.85
2000 03 06 12,0,465.79,10.73,10.73
2000 03 07 12,0,459.24,13.05,13.05
2000 03 08 12,0,410.7,14.05,14.05
2000 03 09 12,0.06,430.38,14.81,14.81
2000 03 10 12,0.19,317.42,15.29,15.29
2000 03 11 12,39.35,201.01,13.92,13.92
2000 03 12 12,1.98,490.86,4.52,4.52
2000 03 13 12,0.04,489.32,2.49,2.49
2000 03 14 12,0,445.29,5.7,5.7
2000 03 15 12,0.23,303.34,8.34,8.34
2000 03 16 12,33.58,188.83,11.08,11.08
2000 03 17 12,4.54,487.5,11.91,11.91
2000 03 18 12,0.45,384.35,4.12,4.12
2000 03 19 12,1.05,153.7,3.36,3.36
2000 03 20 12,47.18,420.83,8.77,8.77
2000 03 21 12,0.27,495.96,10.02,10.02
2000 03 22 12,0,497.63,10.65,10.65
2000 03 23 12,0,452.53,9.69,9.69
2000 03 24 12,0.06,468.86,11.2,11.2
2000 03 25 12,0.19,454.15,13.33,13.33
2000 03 26 12,0.03,508.44,15.16,15.16
2000 03 27 12,4.59,320.27,12.11,12.11
2000 03 28 12,0.22,475.39,7.99,7.99
2000 03 29 12,0.44,337.25,6.42,6.42
2000 03 30 12,0.67,312.18,10.59,10.59
2000 03 31 12,0.06,369.94,12.51,12.51
2000 04 01 12,0,336.95,12.39,12.39
2000 04 02 12,32.44,194.04,11.87,11.87
2000 04 03 12,58.71,250.81,15.12,15.12
2000 04 04 12,24.91,305.09,10.18,10.18
2000 04 05 12,0.18,540.11,3.43,3.43
2000 04 06 12,0.07,527.78,9.96,9.96
2000 04 07 12,0.08,522.85,13.8,13.8
2000 04 08 12,1.42,203.71,10.45,10.45
2000 04 09 12,0.33,551.11,2.43,2.43
2000 04 10 12,0,519.7,7.82,7.82
2000 04 11 12,0.34,357.6,11.83,11.83
2000 04 12 12,0.36,307.56,12.65,12.65
2000 04 13 12,12.65,201.2,9.71,9.71
2000 04 14 12,5.4,189.12,7.55,7.55
2000 04 15 12,10,215.38,10.75,10.75
2000 04 16 12,2.74,529.78,14.13,14.13
2000 04 17 12,0.54,308.2,14.93,14.93
2000 04 18 12,0.14,470.17,10.56,10.56
2000 04 19 12,0,539.66,12,12
2000 04 20 12,0.02,470.34,15.85,15.85
2000 04 21 12,0.77,427.27,13.64,13.64
2000 04 22 12,0.03,514.59,7.28,7.28
2000 04 23 12,0.19,366.88,9.46,9.46
2000 04 24 12,10.46,165.01,10.23,10.23
2000 04 25 12,11.45,261.24,10.34,10.34
2000 04 26 12,0.52,421.87,9.55,9.55
2000 04 27 12,0.09,527.16,10.48,10.48
2000 04 28 12,12.18,286.56,9.07,9.07
2000 04 29 12,1.04,474.88,10.49,10.49
2000 04 30 12,0.13,553.81,12.1,12.1
2000 05 01 12,0,583.67,14.65,14.65
2000 05 02 12,0.63,411.5,16.83,16.83
2000 05 03 12,0.15,427.17,17.41,17.41
2000 05 04 12,19,400.11,17.05,17.05
2000 05 05 12,0.01,563.18,17.98,17.98
2000 05 06 12,0,561.11,19.03,19.03
2000 05 07 12,0,571.35,19.59,19.59
2000 05 08 12,0,556.07,19.59,19.59
2000 05 09 12,0,532,19.63,19.63
2000 05 10 12,0.65,531.11,18.9,18.9
2000 05 11 12,0.01,579.31,18.91,18.91
2000 05 12 12,0,571.36,21.8,21.8
2000 05 13 12,0,523.93,21.25,21.25
2000 05 14 12,0,597.14,16.64,16.64
2000 05 15 12,0,582.53,12.85,12.85
2000 05 16 12,0,580.74,14.54,14.54
2000 05 17 12,0,399.86,17.06,17.06
2000 05 18 12,0,567.63,20.12,20.12
2000 05 19 12,0.7,547.8,20.46,20.46
2000 05 20 12,1.42,476.59,20.41,20.41
2000 05 21 12,10.04,407.06,20.02,20.02
2000 05 22 12,1.61,565.07,18.16,18.16
2000 05 23 12,2.4,418.32,17.86,17.86
2000 05 24 12,9.95,507.96,21.67,21.67
2000 05 25 12,8.7,495.64,22.48,22.48
2000 05 26 12,0.34,497.64,20.58,20.58
2000 05 27 12,0.28,503.13,23.17,23.17
2000 05 28 12,2.54,401.9,21.27,21.27
2000 05 29 12,0.58,517.76,16.87,16.87
2000 05 30 12,0.12,502.02,15.27,15.27
2000 05 31 12,0.03,569.01,17.34,17.34
2000 06 01 12,0,555.65,20.84,20.84
2000 06 02 12,0,556.16,22.74,22.74
2000 06 03 12,0.1,472.49,22.64,22.64
2000 06 04 12,0.43,382.76,21.82,21.82
2000 06 05 12,7.13,317.55,19.17,19.17
2000 06 06 12,0.3,570.43,16.47,16.47
2000 06 07 12,0,576.21,13.83,13.83
2000 06 08 12,0,567.46,15.98,15.98
2000 06 09 12,0,564.12,19.63,19.63
2000 06 10 12,0,560.46,21.08,21.08
2000 06 11 12,0,557.44,22.38,22.38
2000 06 12 12,0.21,557.52,23.42,23.42
2000 06 13 12,2.34,326.4,23.62,23.62
2000 06 14 12,0.84,505.14,23.79,23.79
2000 06 15 12,4.7,441.35,23.26,23.26
2000 06 16 12,7.47,351.58,21.61,21.61
2000 06 17 12,11.34,351.97,21.94,21.94
2000 06 18 12,4.21,337.8,21.98,21.98
2000 06 19 12,7.26,382.86,22.08,22.08
2000 06 20 12,4.95,435.04,22.44,22.44
2000 06 21 12,5.11,430.67,22.84,22.84
2000 06 22 12,4.86,389.25,21.91,21.91
2000 06 23 12,0.01,563.93,21.53,21.53
2000 06 24 12,0,558.27,23.14,23.14
2000 06 25 12,5.01,423.12,23,23
2000 06 26 12,0.93,407.56,23.19,23.19
2000 06 27 12,1.04,389.44,22.53,22.53
2000 06 28 12,2.55,346.64,21.81,21.81
2000 06 29 12,15.34,213.89,19.42,19.42
2000 06 30 12,0.06,533.19,19.4,19.4
2000 07 01 12,0.34,557.39,19.97,19.97
2000 07 02 12,0,552.03,21.62,21.62
2000 07 03 12,0.26,556.94,22.92,22.92
2000 07 04 12,0.08,514.72,23.5,23.5
2000 07 05 12,0.46,479.45,23.47,23.47
2000 07 06 12,0.7,507.87,23.44,23.44
2000 07 07 12,0.06,488.36,23.84,23.84
2000 07 08 12,0.31,461.42,23.02,23.02
2000 07 09 12,0,484.21,23.72,23.72
2000 07 10 12,0.05,521.12,24.47,24.47
2000 07 11 12,0.16,437.7,24.77,24.77
2000 07 12 12,10.43,360,24.69,24.69
2000 07 13 12,6.08,380.26,22.47,22.47
2000 07 14 12,0.47,442.98,22.49,22.49
2000 07 15 12,0.4,574.34,23.01,23.01
2000 07 16 12,0,573.29,21.99,21.99
2000 07 17 12,0,577.21,21.55,21.55
2000 07 18 12,0,549.46,23.15,23.15
2000 07 19 12,1.64,425.88,24.05,24.05
2000 07 20 12,0.18,575.58,23.53,23.53
2000 07 21 12,0,566.38,23.24,23.24
2000 07 22 12,0.28,492.65,21.92,21.92
2000 07 23 12,0.57,393.92,21.49,21.49
2000 07 24 12,17.53,372.46,18.57,18.57
2000 07 25 12,5.17,372.71,16.48,16.48
2000 07 26 12,5.8,407.42,18.93,18.93
2000 07 27 12,2.07,450.3,21.89,21.89
2000 07 28 12,1.24,484.45,23.24,23.24
2000 07 29 12,3.68,383.23,22.71,22.71
2000 07 30 12,13,314,21.83,21.83
2000 07 31 12,25.25,295.74,21.89,21.89
2000 08 01 12,7.83,380.92,21.91,21.91
2000 08 02 12,7.39,280.28,20.91,20.91
2000 08 03 12,17.25,446.04,21.45,21.45
2000 08 04 12,4.65,435.18,22.01,22.01
2000 08 05 12,0.33,563.59,21.68,21.68
2000 08 06 12,0.05,504.24,24.4,24.4
2000 08 07 12,0.71,488.55,25.49,25.49
2000 08 08 12,3.99,446.26,25.1,25.1
2000 08 09 12,1.92,544.62,25.55,25.55
2000 08 10 12,1.72,474.42,25.8,25.8
2000 08 11 12,0.45,511.24,23.98,23.98
2000 08 12 12,0,574.42,20.56,20.56
2000 08 13 12,0,555.37,18.54,18.54
2000 08 14 12,0,564.43,20.53,20.53
2000 08 15 12,0,565.07,21.93,21.93
2000 08 16 12,0,556.69,23.77,23.77
2000 08 17 12,0,541.94,24.83,24.83
2000 08 18 12,0.29,500.03,26.52,26.52
2000 08 19 12,0.13,540.09,23.06,23.06
2000 08 20 12,1.53,338.56,22.03,22.03
2000 08 21 12,14.49,244.55,17.48,17.48
2000 08 22 12,0,437.56,18.12,18.12
2000 08 23 12,0.81,535.19,20.19,20.19
2000 08 24 12,0.14,478.42,23.19,23.19
2000 08 25 12,0.3,481.07,23.12,23.12
2000 08 26 12,0.09,532.78,22.37,22.37
2000 08 27 12,1.54,352.52,21.61,21.61
2000 08 28 12,0,529.7,21.28,21.28
2000 08 29 12,0,500.14,22.16,22.16
2000 08 30 12,0,467.6,21.12,21.12
2000 08 31 12,6.36,339.3,18.82,18.82
2000 09 01 12,5.34,295.51,18.55,18.55
2000 09 02 12,15.32,338.98,19.98,19.98
2000 09 03 12,12.41,332.95,20.89,20.89
2000 09 04 12,1.87,420.04,22.14,22.14
2000 09 05 12,0.89,426.36,20.66,20.66
2000 09 06 12,1.28,199.99,15.21,15.21
2000 09 07 12,3.46,163,15.4,15.4
2000 09 08 12,0.81,229.51,18.03,18.03
2000 09 09 12,0.01,323.78,19.99,19.99
2000 09 10 12,0.07,432.09,21.12,21.12
2000 09 11 12,0,388.96,21.76,21.76
2000 09 12 12,0,482.75,22.04,22.04
2000 09 13 12,2.27,467.55,21.99,21.99
2000 09 14 12,3.69,421.12,22.87,22.87
2000 09 15 12,0,491.59,20.76,20.76
2000 09 16 12,0,510.44,12.42,12.42
2000 09 17 12,0,507.47,12.4,12.4
2000 09 18 12,4.36,274.28,13.28,13.28
2000 09 19 12,0.38,493.28,16.72,16.72
2000 09 20 12,0.01,309.11,18.77,18.77
2000 09 21 12,44.46,277.31,20.65,20.65
2000 09 22 12,5.69,283.52,19.59,19.59
2000 09 23 12,9.43,405.48,18.89,18.89
2000 09 24 12,1,319.68,21.54,21.54
2000 09 25 12,21.5,213.2,20.81,20.81
2000 09 26 12,0,488.75,12.38,12.38
2000 09 27 12,0,489.03,11.23,11.23
2000 09 28 12,0,478.6,13.83,13.83
2000 09 29 12,0,481.95,12.98,12.98
2000 09 30 12,0,467.41,14.4,14.4
2004 10 01 12,0.03,441.62,18.25,18.25
2004 10 02 12,0.05,436.37,19.29,19.29
2004 10 03 12,1.7,444.99,18.41,18.41
2004 10 04 12,0.17,479.54,16.48,16.48
2004 10 05 12,0,472.11,15.77,15.77
2004 10 06 12,0,466.1,15.56,15.56
2004 10 07 12,0,387.66,16.7,16.7
2004 10 08 12,0.02,460.39,13.5,13.5
2004 10 09 12,0.01,318.32,16.36,16.36
2004 10 10 12,0,387.91,17.49,17.49
2004 10 11 12,0,217.81,16.79,16.79
2004 10 12 12,6.08,300.46,15.98,15.98
2004 10 13 12,2.09,254.2,14.44,14.44
2004 10 14 12,0,413.22,12.48,12.48
2004 10 15 12,1.17,406.43,9.34,9.34
2004 10 16 12,0,429.67,8.9,8.9
2004 10 17 12,0.04,434.88,9.71,9.71
2004 10 18 12,0.09,284.96,15.26,15.26
2004 10 19 12,17.46,243.86,16.81,16.81
2004 10 20 12,0.35,427.01,17.56,17.56
2004 10 21 12,0,420.29,16.83,16.83
2004 10 22 12,0.85,412.6,15.13,15.13
2004 10 23 12,3.22,283.23,13.13,13.13
2004 10 24 12,1.96,408.53,14.63,14.63
2004 10 25 12,0,418.69,15.59,15.59
2004 10 26 12,0,400.19,15.69,15.69
2004 10 27 12,0.08,323.75,17.66,17.66
2004 10 28 12,2.57,319.15,17.51,17.51
2004 10 29 12,3.17,319.4,16.94,16.94
2004 10 30 12,0.12,359.9,18.94,18.94
2004 10 31 12,0.8,337.19,18.26,18.26
2004 11 01 12,0,362.68,18.68,18.68
2004 11 02 12,7.36,278.83,19,19
2004 11 03 12,37.1,185.08,18.18,18.18
2004 11 04 12,39.03,228.47,16.93,16.93
2004 11 05 12,0.11,376.38,8.9,8.9
2004 11 06 12,0,366.24,7.19,7.19
2004 11 07 12,0,358.2,10.12,10.12
2004 11 08 12,0,360.47,11.19,11.19
2004 11 09 12,0,359.25,6.4,6.4
2004 11 10 12,0,352.06,4.96,4.96
2004 11 11 12,13.25,125.26,7.32,7.32
2004 11 12 12,44.18,192.64,11.82,11.82
2004 11 13 12,0.57,305.83,10.41,10.41
2004 11 14 12,0,361.5,5.36,5.36
