Year Mnth Day Hr,PRCP(mm/day)_nldas,srad(W/m2)_daymet,tmax(C)_daymet,tmin(C)_daymet
1999 04 15 12,9.33,271.19,17.49,6.52
1999 04 16 12,0.05,335.96,18.83,4.49
1999 04 17 12,0,450.68,16.12,2.2
1999 04 18 12,0,448.37,13.74,0.25
1999 04 19 12,0,493.05,15.75,0.07
1999 04 20 12,4.94,391.02,19.72,1.63
1999 04 21 12,0.07,521.7,23.03,4.57
1999 04 22 12,0,544.31,26.91,5.85
1999 04 23 12,0,496.35,26.32,8.92
1999 04 24 12,0.03,478.77,27.24,10.73
1999 04 25 12,1.25,453.72,27.4,10.99
1999 04 26 12,4.36,176.37,15.68,10.82
1999 04 27 12,9.97,223.3,18.38,9.93
1999 04 28 12,4.91,317.29,23.49,10.33
1999 04 29 12,10.57,258.05,16.39,6.81
1999 04 30 12,14.94,173.88,9.15,3.21
1999 05 01 12,0,342.05,14.82,2.57
1999 05 02 12,0.25,541.3,20.97,2.45
1999 05 03 12,0,558.9,23.53,3.08
1999 05 04 12,0,558.42,25.26,4.39
1999 05 05 12,11.13,392.84,25.67,8.23
1999 05 06 12,48.95,167.89,18.67,12.61
1999 05 07 12,13.9,216.4,18.95,11.15
1999 05 08 12,13.28,336.4,21.1,7.95
1999 05 09 12,0,518.26,23.58,6.69
1999 05 10 12,0,531.58,26.2,7.89
1999 05 11 12,0.01,495.81,25.79,9.64
1999 05 12 12,1.11,475.93,25.82,10.75
1999 05 13 12,2.49,351.15,22.25,11.46
1999 05 14 12,5.06,349.75,23.51,9.5
1999 05 15 12,1.71,319.79,21.65,9.44
1999 05 16 12,0.37,458.79,21.27,7.9
1999 05 17 12,0,487.14,24.59,9.55
1999 05 18 12,3.26,464.09,24.46,10.49
1999 05 19 12,8.21,361.51,24.45,9.63
1999 05 20 12,0,545.18,24.32,6.05
1999 05 21 12,0,543.97,25.71,7.24
1999 05 22 12,1.32,505.37,25.84,9.87
1999 05 23 12,1.38,412.9,26.94,13.4
1999 05 24 12,1.58,375.25,27.53,13.81
1999 05 25 12,0,503.31,23.1,7.92
1999 05 26 12,4.22,353.69,24.03,9.89
1999 05 27 12,0.07,449,20.46,6.37
1999 05 28 12,0,537.29,25.05,7.05
1999 05 29 12,0,503.21,24.6,8.5
1999 05 30 12,0,477.17,26.56,11.2
1999 05 31 12,0,473.06,25.97,10.82
1999 06 01 12,0,385.07,24,12.75
1999 06 02 12,0.89,324.82,23.12,14.05
1999 06 03 12,13,304.74,26.54,14.62
1999 06 04 12,0.11,481.87,28.45,13.25
1999 06 05 12,0.36,455.75,27.35,13.34
1999 06 06 12,0.29,374.43,25.09,14.32
1999 06 07 12,0.11,439.71,26.04,12.75
1999 06 08 12,0.9,483.32,29.35,13.61
1999 06 09 12,2.42,502.13,30.2,13.34
1999 06 10 12,8.45,481.36,30.8,14.91
1999 06 11 12,0.32,322.77,28.56,15.38
1999 06 12 12,0.55,337.04,26.08,16.53
1999 06 13 12,0.01,478.07,26.83,11.96
1999 06 14 12,0.87,466.3,27.95,13.37
1999 06 15 12,14.93,322.52,25.83,15.22
1999 06 16 12,45.58,215.44,23.76,16.01
1999 06 17 12,1.36,148.58,19.4,14.42
1999 06 18 12,0.15,476,24.36,10.45
1999 06 19 12,0,474.17,23.27,9.71
1999 06 20 12,0,439.4,23.58,11.51
1999 06 21 12,0,404.25,23.35,12.65
1999 06 22 12,2.06,409.86,25.4,14.03
1999 06 23 12,0.4,305.35,23.63,15.92
1999 06 24 12,20.8,250.61,24.61,16.18
1999 06 25 12,27.43,113.35,20.62,17.21
1999 06 26 12,7.72,286.92,25.97,17.23
1999 06 27 12,9.46,210.11,25.27,18.65
1999 06 28 12,7.25,228.81,24.6,17.59
1999 06 29 12,16.51,327.31,29.04,18.03
1999 06 30 12,0.07,445.28,27.83,15.51
1999 07 01 12,0.66,470.62,28.2,15.84
1999 07 02 12,6.21,392.92,27.14,17.62
1999 07 03 12,4.23,339.29,27.34,15.84
1999 07 04 12,0.86,379.07,28.86,17.23
1999 07 05 12,3.18,400.11,29.44,17.91
1999 07 06 12,1.44,373.16,29.78,18.34
1999 07 07 12,5.67,350.06,29.35,17.92
1999 07 08 12,8.97,336.63,28.2,16.92
1999 07 09 12,0.12,412.65,29.03,17.07
1999 07 10 12,7.24,359.02,28.82,17.91
1999 07 11 12,20.63,288.05,26.86,18.18
1999 07 12 12,15.13,247.36,22.2,15.35
1999 07 13 12,0.14,170.61,18.57,14.26
1999 07 14 12,2.76,316.68,22.04,15.18
1999 07 15 12,0,448.72,25.17,15.31
1999 07 16 12,0.04,491.53,26.79,14.98
1999 07 17 12,1.33,503.24,28.02,15.21
1999 07 18 12,1.53,494.54,27.98,15.62
1999 07 19 12,0.14,420.09,27.76,15.98
1999 07 20 12,1.08,476.84,29.05,16.08
1999 07 21 12,0.29,479.21,30.15,17.9
1999 07 22 12,7.81,367.63,30.87,18.71
1999 07 23 12,0.04,369.56,31.43,18.3
1999 07 24 12,7.68,481.68,31.88,18.76
1999 07 25 12,0.09,371.36,31.79,17.64
1999 07 26 12,0.03,512.09,32.21,16.82
1999 07 27 12,1.8,479.38,31.92,18.13
1999 07 28 12,0.25,403.47,31.75,16.91
1999 07 29 12,0.85,486.73,31.9,17.47
1999 07 30 12,0.01,487.76,32.43,17.65
1999 07 31 12,0,504.59,34.61,18.06
1999 08 01 12,0,495.55,34.79,18.51
1999 08 02 12,0.28,450.82,33.06,19.52
1999 08 03 12,0,445.9,30.66,17.85
1999 08 04 12,0,453.83,28.89,16.05
1999 08 05 12,0,458.97,28.86,15.76
1999 08 06 12,0,481.58,30.34,15.76
1999 08 07 12,0,483.37,30.37,15.55
1999 08 08 12,2.96,516.54,31.81,14.48
1999 08 09 12,0.88,373.55,30.73,15.37
1999 08 10 12,0.03,468.44,30.86,16.13
1999 08 11 12,0,469.27,31.33,16.22
1999 08 12 12,0.09,461.3,32.05,16.8
1999 08 13 12,1.25,460.69,32.63,17.04
1999 08 14 12,7.81,321.86,32.05,17.87
1999 08 15 12,0.06,463.35,31.82,15.99
1999 08 16 12,0.03,432.41,30.01,16.01
1999 08 17 12,0,422.1,31.07,17.22
1999 08 18 12,0,451.37,32.24,16.61
1999 08 19 12,0.37,462.7,33.57,16.91
1999 08 20 12,3.32,386.14,31.69,17.25
1999 08 21 12,0.03,332.81,29.25,14.25
1999 08 22 12,0,458.11,28.5,12.91
1999 08 23 12,6.38,435.41,28.81,14.17
1999 08 24 12,35.46,259.74,26.5,15.75
1999 08 25 12,8.19,186.24,24.07,16.82
1999 08 26 12,1.3,309.26,27.56,18.12
1999 08 27 12,0.02,451.75,28.89,13.62
1999 08 28 12,0.78,426.24,28.03,14.08
1999 08 29 12,0.77,406.72,28.69,15.48
1999 08 30 12,0.11,386.2,27.33,15.16
1999 08 31 12,0.11,496.48,27.93,10.1
1999 09 01 12,0,488.85,26.46,9.23
1999 09 02 12,0,492.59,28.15,10.04
1999 09 03 12,0,491.1,30.55,11.64
1999 09 04 12,0,480.61,29.53,11.36
1999 09 05 12,0,465.2,30.5,12.9
1999 09 06 12,0,337.45,28.1,16.78
1999 09 07 12,0,425.96,30.83,15.33
1999 09 08 12,0.13,436.32,30.96,14.75
1999 09 09 12,0.59,438.49,31.08,14.62
1999 09 10 12,0.05,371.59,25.25,12.96
1999 09 11 12,0,479.77,27.13,8.71
1999 09 12 12,0,458.24,27.39,10.2
1999 09 13 12,0,469.76,28.58,10.1
1999 09 14 12,0,434.46,27.83,11.65
1999 09 15 12,0,381.28,27.81,14.22
1999 09 16 12,0,363.05,25.76,13.21
1999 09 17 12,0,483.31,24.14,4.88
1999 09 18 12,0,483.36,25.15,5.43
1999 09 19 12,0.07,417.09,23.82,8.54
1999 09 20 12,0.13,426.65,25.07,8.93
1999 09 21 12,5.96,330.35,24.89,10.58
1999 09 22 12,0.04,319.36,23.49,7.23
1999 09 23 12,0,461.58,20.35,1.96
1999 09 24 12,0,474.09,23.23,2.76
1999 09 25 12,0,457.66,24.64,4.82
1999 09 26 12,0,444.9,25.65,6.33
1999 09 27 12,8,239.48,25.33,12.94
1999 09 28 12,51.99,103.89,22.22,17.22
1999 09 29 12,21.24,88.29,22.84,18.65
1999 09 30 12,5.18,303.71,21.77,5.48
1999 10 01 12,0.02,422.66,20.95,3.68
1999 10 02 12,0,421.55,21.5,4.04
1999 10 03 12,0,365.26,21.36,7.23
1999 10 04 12,43.54,208.49,22.55,12.26
1999 10 05 12,0.11,206.55,19.45,9.62
1999 10 06 12,0,343.31,21.84,8.8
1999 10 07 12,0,361.52,21.64,7.6
1999 10 08 12,0.02,312.27,19.07,7.62
1999 10 09 12,9.27,144.41,17.41,11.26
1999 10 10 12,84.36,85.28,18.58,14.8
1999 10 11 12,5.74,129.93,18.91,13.02
1999 10 12 12,0.88,266.31,23.91,13.47
1999 10 13 12,2.18,114.45,16.72,11.81
1999 10 14 12,2.57,209.3,18.95,11.4
1999 10 15 12,0.53,331.77,22.15,10.27
1999 10 16 12,0,345.97,20.06,7.61
1999 10 17 12,0,378.58,23.31,8.46
1999 10 18 12,0.08,364.54,24.61,10.44
1999 10 19 12,0.04,303.34,20.65,10.17
1999 10 20 12,25.32,96.64,14.18,10.32
1999 10 21 12,0.12,249.25,13.64,2.5
1999 10 22 12,0,391.03,15.86,1.04
1999 10 23 12,0.02,408.49,18.81,1.78
1999 10 24 12,0.01,350.01,11.1,-0.87
1999 10 25 12,0,393.03,12.59,-2.24
1999 10 26 12,0,416.8,15.74,-2.24
1999 10 27 12,0,415.25,18.94,-0.27
1999 10 28 12,0,402.2,21.72,2.81
1999 10 29 12,0,378.38,19.64,3.09
1999 10 30 12,0.09,379.67,21.01,3.81
1999 10 31 12,0.53,343.87,20.91,6.45
1999 11 01 12,18.84,232.39,21.51,9.18
1999 11 02 12,43.93,155.75,15.74,8.58
1999 11 03 12,0.67,372.34,13.13,-3.53
1999 11 04 12,0,344.94,9.63,-4.26
1999 11 05 12,0,380.31,15.07,-3.05
1999 11 06 12,0,383.89,18.99,-1.01
1999 11 07 12,0,368.47,20.9,2.06
1999 11 08 12,0,328.09,21.76,6.27
1999 11 09 12,0,321.54,21.14,5.7
1999 11 10 12,0,330.83,22.28,5.36
1999 11 11 12,0.32,299.75,21,6.45
1999 11 12 12,0.24,294.9,20.51,5.96
1999 11 13 12,0,289.44,17.19,3.08
1999 11 14 12,0,320.01,21.17,3.73
1999 11 15 12,0,323.56,21.97,3.8
1999 11 16 12,0,317.45,16.38,-0.72
1999 11 17 12,0,322.48,13.02,-4.47
1999 11 18 12,0,321.29,13.36,-4.45
1999 11 19 12,0,308.5,14.48,-2.82
1999 11 20 12,4.58,266.15,15.85,1.68
1999 11 21 12,6.06,109.48,16.6,9.33
1999 11 22 12,1.21,161.78,17.33,7.64
1999 11 23 12,0.59,223.52,18.83,7.25
1999 11 24 12,3.38,90.11,16.38,10.79
1999 11 25 12,42.09,102.3,18.2,11.5
1999 11 26 12,43.97,67.75,15.69,11.52
1999 11 27 12,0,211.5,14.26,0.35
1999 11 28 12,0,284.33,15.9,0.83
1999 11 29 12,0,297.58,17.86,1.28
1999 11 30 12,0,314.13,13.59,-4.62
1999 12 01 12,0,276.07,6.42,-7.64
1999 12 02 12,0,289.19,8.34,-7.29
1999 12 03 12,0,300.11,13.61,-3.76
1999 12 04 12,0,274.61,14.61,-0.58
1999 12 05 12,0.14,272,16.91,1.75
1999 12 06 12,16.63,179.19,16.4,3.82
1999 12 07 12,0.03,259.59,8.63,-4.76
1999 12 08 12,0.07,303.95,13.42,-4.62
1999 12 09 12,0.11,279.1,14.32,-2.95
1999 12 10 12,16.41,84.58,11.66,6.38
1999 12 11 12,0.05,226.91,13.08,-1.67
1999 12 12 12,0.02,266.17,12.99,-1.15
1999 12 13 12,24.95,99.2,12.21,6.01
1999 12 14 12,36.01,150.99,14.14,4.48
1999 12 15 12,0.15,257.68,9.8,-2.98
1999 12 16 12,0,279.27,11.89,-2.74
1999 12 17 12,0,269.07,8.27,-5.32
1999 12 18 12,0,292.37,11.38,-4.43
1999 12 19 12,0.02,264.4,11.85,-1.27
1999 12 20 12,2.71,73.84,9.59,5.49
1999 12 21 12,10.11,137.79,10.9,2.82
1999 12 22 12,0.58,103.29,7.7,1.87
1999 12 23 12,0.34,253.91,9.4,-2.41
1999 12 24 12,0,234.01,7.19,-3.48
1999 12 25 12,0,246.56,2.72,-8.64
1999 12 26 12,0,283.13,4.44,-9.94
1999 12 27 12,0,299.69,11.27,-5.4
1999 12 28 12,0,263.13,8.23,-4.73
1999 12 29 12,0,228.08,5.75,-4.57
1999 12 30 12,0,294.52,10.52,-4.97
1999 12 31 12,0,304.72,14.25,-2.78
2000 01 01 12,0,319.07,16.03,1.53
2000 01 02 12,0,228.71,15.36,5.87
2000 01 03 12,0.48,173.83,16.23,8.93
2000 01 04 12,18.44,83.16,15.39,10.9
2000 01 05 12,0,259.8,13.47,-4.2
2000 01 06 12,0,304.22,7.04,-6.77
2000 01 07 12,0,313.92,9.31,-5.65
2000 01 08 12,0.08,309.19,10.72,-3.75
2000 01 09 12,14.58,174.7,9.79,0.46
2000 01 10 12,42.54,141.03,11.27,4
2000 01 11 12,0,307.68,14.66,0.13
2000 01 12 12,0,337.89,17.22,-1.4
2000 01 13 12,1.54,337.24,17.26,-1.6
2000 01 14 12,0.17,356.59,16.37,-5.6
2000 01 15 12,0,306.64,5.26,-8.06
2000 01 16 12,1.13,311.74,9.15,-4.69
2000 01 17 12,0.45,276.27,10.81,-0.46
2000 01 18 12,10.59,218.58,10.43,-1.89
2000 01 19 12,1.25,246.44,8.93,-1.98
2000 01 20 12,7.36,168.6,6.47,-2
2000 01 21 12,0,296.03,2.28,-9.43
2000 01 22 12,1.38,239.45,0.95,-7.79
2000 01 23 12,12.02,128.18,1.24,-4.64
2000 01 24 12,4.12,145.44,2.15,-3.98
2000 01 25 12,0.22,253.24,1.66,-7.35
2000 01 26 12,0.01,289.06,0.43,-10.17
2000 01 27 12,0.02,327.74,-1.27,-14.05
2000 01 28 12,0,338.77,3.69,-9.9
2000 01 29 12,3.25,173.3,2.73,-4.99
2000 01 30 12,13.47,152.25,2.05,-4.1
2000 01 31 12,0.39,253.91,1.38,-7.14
2000 02 01 12,0,304.17,2,-8.37
2000 02 02 12,0.48,379.18,5.2,-9.75
2000 02 03 12,0,395.57,8.27,-8.84
2000 02 04 12,0,403.09,11.37,-6.52
2000 02 05 12,0.03,322.69,5.5,-5.7
2000 02 06 12,0,383.3,7.47,-7.43
2000 02 07 12,0,396.3,10.72,-5.42
2000 02 08 12,0,372.53,11.81,-2.46
2000 02 09 12,0,383.58,10.61,-4.41
2000 02 10 12,0,415.38,14.53,-3.78
2000 02 11 12,0,402.47,17.05,-0.1
2000 02 12 12,18.3,276.45,18.67,3.94
2000 02 13 12,1.64,176.04,10.37,2.92
2000 02 14 12,32.24,170.72,9.15,2.21
2000 02 15 12,0.01,418.61,14.96,-2.46
2000 02 16 12,0,422.21,17.24,-0.98
2000 02 17 12,0.07,427.88,21.31,1.61
2000 02 18 12,5.34,269.82,14.91,1.91
2000 02 19 12,5.5,271.57,13.85,2.28
2000 02 20 12,0,429.3,14.64,-3.57
2000 02 21 12,0,417.41,11.38,-5.25
2000 02 22 12,0.02,417.9,13.04,-4.01
2000 02 23 12,0,373.62,13.01,-0.98
2000 02 24 12,0,387.27,16.57,1.34
2000 02 25 12,0,351.03,17.85,4.65
2000 02 26 12,0,397.23,21.41,5.02
2000 02 27 12,13.71,264.31,19.6,6.28
2000 02 28 12,0.04,299.94,13.41,0.28
2000 02 29 12,0.02,443.05,17.96,-1.8
2000 03 01 12,0,429.96,18.87,0.18
2000 03 02 12,0,417.96,19.91,2.06
2000 03 03 12,0.71,436.42,19.63,0.33
2000 03 04 12,3.29,281.96,17.95,3.9
2000 03 05 12,0,433.4,17.9,-0.77
2000 03 06 12,0,451.84,20.74,0.45
2000 03 07 12,0,459.35,22.98,1.53
2000 03 08 12,0,460.19,24.88,3.12
2000 03 09 12,0.06,443.82,26.25,5.82
2000 03 10 12,0.19,389.35,21.52,5.89
2000 03 11 12,39.35,278.92,21.63,6.97
2000 03 12 12,1.98,311.49,14.85,-1.43
2000 03 13 12,0.04,416.01,9.79,-5.85
2000 03 14 12,0,432.34,12.75,-4.19
2000 03 15 12,0.23,422.51,16.3,-0.5
2000 03 16 12,33.58,231.23,16.52,5.36
2000 03 17 12,4.54,204.77,14.98,5.6
2000 03 18 12,0.45,394.57,13.05,-1.17
2000 03 19 12,1.05,172.78,8,0.76
2000 03 20 12,47.18,185.96,10.87,2.95
2000 03 21 12,0.27,427.16,17.43,1.92
2000 03 22 12,0,479.85,19.99,0.71
2000 03 23 12,0,478.77,22.05,2.74
2000 03 24 12,0.06,472.77,21.74,2.96
2000 03 25 12,0.19,472.89,22.61,3.74
2000 03 26 12,0.03,438.12,23.61,6.88
2000 03 27 12,4.59,479.92,23.2,3.82
2000 03 28 12,0.22,336.87,16.41,-0.21
2000 03 29 12,0.44,476.24,17.95,-0.51
2000 03 30 12,0.67,326.05,13.83,3.26
2000 03 31 12,0.06,396.06,20.85,7.02
2000 04 01 12,0,433.34,20.42,5.08
2000 04 02 12,32.44,234.74,19.03,8.9
2000 04 03 12,58.71,141.53,16.54,10.86
2000 04 04 12,24.91,306.54,19.06,5.49
2000 04 05 12,0.18,446.09,13.1,-1.18
2000 04 06 12,0.07,523.42,19.78,0.24
2000 04 07 12,0.08,530.82,25.6,4.37
2000 04 08 12,1.42,522,26.41,5.87
2000 04 09 12,0.33,498.51,14.17,-2.64
2000 04 10 12,0,518,17.52,-0.94
2000 04 11 12,0.34,513.4,21.14,2.5
2000 04 12 12,0.36,449.2,21.54,6.69
2000 04 13 12,12.65,303.55,19.59,6.91
2000 04 14 12,5.4,136.6,10.11,5.99
2000 04 15 12,10,227.7,16.22,7.7
2000 04 16 12,2.74,325.81,21.3,7.64
2000 04 17 12,0.54,499.5,24.81,7.43
2000 04 18 12,0.14,475.75,22.69,6.73
2000 04 19 12,0,507.78,22.73,4.74
2000 04 20 12,0.02,521.24,26.05,6.53
2000 04 21 12,0.77,530.3,27.03,6.4
2000 04 22 12,0.03,404.65,15.18,3.09
2000 04 23 12,0.19,486,18.07,2.33
2000 04 24 12,10.46,358.85,21.09,5.4
2000 04 25 12,11.45,129.47,12.69,8.17
2000 04 26 12,0.52,371,15.17,4.89
2000 04 27 12,0.09,547.36,19.76,0.9
2000 04 28 12,12.18,375.66,20.03,4.03
2000 04 29 12,1.04,480.74,18.49,3.76
2000 04 30 12,0.13,541.9,22.02,3.15
2000 05 01 12,0,548.32,24.7,4.74
2000 05 02 12,0.63,515.11,26.01,7.92
2000 05 03 12,0.15,464.51,25.41,9.98
2000 05 04 12,19,261.23,23.01,12.45
2000 05 05 12,0.01,390.83,22.81,9.61
2000 05 06 12,0,487.06,26.13,9.72
2000 05 07 12,0,505,27.4,9.88
2000 05 08 12,0,484.51,27.47,11.19
2000 05 09 12,0,490.99,27.52,10.95
2000 05 10 12,0.65,468.86,27.42,12.07
2000 05 11 12,0.01,550.03,27.04,6.8
2000 05 12 12,0,501.61,29.03,11.59
2000 05 13 12,0,457.13,30.08,14.69
2000 05 14 12,0,512.95,28.55,10.1
2000 05 15 12,0,499.82,24.38,7.25
2000 05 16 12,0,497.45,22.43,5.68
2000 05 17 12,0,434.63,23.36,9.52
2000 05 18 12,0,401.27,24.83,12.23
2000 05 19 12,0.7,448.72,28.83,13.76
2000 05 20 12,1.42,334.27,28.15,15.58
2000 05 21 12,10.04,257.45,26.13,15.78
2000 05 22 12,1.61,367.63,24.41,12.18
2000 05 23 12,2.4,437.69,24.55,10.79
2000 05 24 12,9.95,274.2,25.29,14.44
2000 05 25 12,8.7,357.66,27.47,16.02
2000 05 26 12,0.34,393.13,27.99,13.46
2000 05 27 12,0.28,363.74,27.41,15.67
2000 05 28 12,2.54,311.53,28.07,15.89
2000 05 29 12,0.58,426.03,24.73,11.86
2000 05 30 12,0.12,380.64,22.38,11.59
2000 05 31 12,0.03,490.11,24.67,9.39
2000 06 01 12,0,515.74,28.42,11.1
2000 06 02 12,0,508.53,30.93,13.38
2000 06 03 12,0.1,474.13,30.63,14.87
2000 06 04 12,0.43,390.54,27.6,15.65
2000 06 05 12,7.13,151.77,21.99,16.66
2000 06 06 12,0.3,290.26,20.8,11.24
2000 06 07 12,0,544.59,22.43,4.85
2000 06 08 12,0,543.94,24.98,6.93
2000 06 09 12,0,531.47,26.59,8.95
2000 06 10 12,0,531.82,28.97,10.82
2000 06 11 12,0,515.19,30.11,12.73
2000 06 12 12,0.21,507.5,31.02,13.82
2000 06 13 12,2.34,483.26,30.97,15.16
2000 06 14 12,0.84,374.25,30.72,16.55
2000 06 15 12,4.7,321.17,29.94,16.9
2000 06 16 12,7.47,277,28.06,17.44
2000 06 17 12,11.34,241.62,26.21,17.41
2000 06 18 12,4.21,322.14,27.94,17.22
2000 06 19 12,7.26,294.08,28.22,17.11
2000 06 20 12,4.95,321.03,28.01,16.49
2000 06 21 12,5.11,289.63,28.51,17.57
2000 06 22 12,4.86,302.25,27.57,16.22
2000 06 23 12,0.01,470.23,26.89,13.03
2000 06 24 12,0,499.05,29.45,13.57
2000 06 25 12,5.01,469.47,29.84,15.33
2000 06 26 12,0.93,310.9,28.23,16.19
2000 06 27 12,1.04,362.1,29.36,15.44
2000 06 28 12,2.55,377.1,27.47,16.86
2000 06 29 12,15.34,220.68,26.22,18.3
2000 06 30 12,0.06,317.51,24.1,12.46
2000 07 01 12,0.34,469.64,26.11,12.54
2000 07 02 12,0,475.89,27.16,13.23
2000 07 03 12,0.26,442.55,27.6,15.05
2000 07 04 12,0.08,429.13,29.02,16.74
2000 07 05 12,0.46,443.55,30.25,17
2000 07 06 12,0.7,385,31.08,19.47
2000 07 07 12,0.06,446.02,31.26,17.75
2000 07 08 12,0.31,420.56,30.58,18.34
2000 07 09 12,0,421.33,29.32,17.4
2000 07 10 12,0.05,439.95,30.91,18.13
2000 07 11 12,0.16,471.42,32.14,17.82
2000 07 12 12,10.43,344.21,31.69,19.05
2000 07 13 12,6.08,297.5,29.23,18.55
2000 07 14 12,0.47,292.95,27.93,17.73
2000 07 15 12,0.4,463.27,28.97,15.98
2000 07 16 12,0,498.21,28.77,14.13
2000 07 17 12,0,514.88,28.96,13.24
2000 07 18 12,0,514.88,30.22,14.03
2000 07 19 12,1.64,488.32,31.12,15.98
2000 07 20 12,0.18,469.51,31.46,17.04
2000 07 21 12,0,475.41,32.03,17.09
2000 07 22 12,0.28,425.91,30.06,17.61
2000 07 23 12,0.57,336.44,26.88,17.16
2000 07 24 12,17.53,213.95,24.26,17.08
2000 07 25 12,5.17,221.88,23.24,15.91
2000 07 26 12,5.8,221.64,22.73,15.96
2000 07 27 12,2.07,321.63,26.08,16.33
2000 07 28 12,1.24,348.08,27.77,14.76
2000 07 29 12,3.68,343.68,27.62,14.68
2000 07 30 12,13,276.74,26.79,17.07
2000 07 31 12,25.25,241.33,25.66,17.6
2000 08 01 12,7.83,231.87,25.11,17.57
2000 08 02 12,7.39,217.86,25.03,18.04
2000 08 03 12,17.25,227.33,24.65,17.52
2000 08 04 12,4.65,308.46,26.18,15.86
2000 08 05 12,0.33,326.72,27.24,15.91
2000 08 06 12,0.05,452.86,28.74,16.55
2000 08 07 12,0.71,420.2,29.59,18.49
2000 08 08 12,3.99,448.4,30.39,18.02
2000 08 09 12,1.92,408.47,30.9,18.65
2000 08 10 12,1.72,457.7,31.72,18.57
2000 08 11 12,0.45,416.79,30.85,18.05
2000 08 12 12,0,505.39,28.6,13.67
2000 08 13 12,0,511.61,26.94,11.92
2000 08 14 12,0,519.35,27.88,11.9
2000 08 15 12,0,514.94,28.49,12.62
2000 08 16 12,0,514.36,30.86,14.27
2000 08 17 12,0,488,31.82,16.54
2000 08 18 12,0.29,456.04,32.11,18.42
2000 08 19 12,0.13,472.25,31.4,17.03
2000 08 20 12,1.53,384.89,28.06,17.95
2000 08 21 12,14.49,289.7,22.53,13.03
2000 08 22 12,0,397.38,21.51,11.68
2000 08 23 12,0.81,469.78,26.5,13.2
2000 08 24 12,0.14,448.33,28.26,15.36
2000 08 25 12,0.3,450.46,29.04,15.67
2000 08 26 12,0.09,455.13,28.15,14.58
2000 08 27 12,1.54,426.66,27.43,15.18
2000 08 28 12,0,393.8,26.77,15.15
2000 08 29 12,0,441.8,27.74,14.64
2000 08 30 12,0,412.4,27.13,15.2
2000 08 31 12,6.36,219.05,25.23,17.31
2000 09 01 12,5.34,175.09,24.08,17.97
2000 09 02 12,15.32,182.77,24.76,18.3
2000 09 03 12,12.41,187.57,24.76,18.17
2000 09 04 12,1.87,262.84,26.52,16.91
2000 09 05 12,0.89,361.5,25.71,15.7
2000 09 06 12,1.28,271.67,22.28,13.26
2000 09 07 12,3.46,189.35,19.31,13.11
2000 09 08 12,0.81,280.47,21.61,14.59
2000 09 09 12,0.01,313.16,23.74,15.72
2000 09 10 12,0.07,399.38,24.5,13.62
2000 09 11 12,0,428.33,25.99,13.68
2000 09 12 12,0,420.11,26.6,14.55
2000 09 13 12,2.27,420.1,27.33,15.2
2000 09 14 12,3.69,429.12,27.96,15.28
2000 09 15 12,0,467.59,26.61,12.05
2000 09 16 12,0,510.34,23.34,5.95
2000 09 17 12,0,496.22,20.23,4.65
2000 09 18 12,4.36,438.53,19.55,7.4
2000 09 19 12,0.38,306.04,21.74,10.33
2000 09 20 12,0.01,434.5,25.03,11.8
2000 09 21 12,44.46,297.76,25.16,13.46
2000 09 22 12,5.69,172.96,22.24,16.32
2000 09 23 12,9.43,187.35,22.25,15.96
2000 09 24 12,1,233.96,25.26,16.93
2000 09 25 12,21.5,284.06,25.72,14.95
2000 09 26 12,0,344.42,22.32,7.69
2000 09 27 12,0,492.47,19.78,2.6
2000 09 28 12,0,479.22,20.59,4.25
2000 09 29 12,0,450.81,21.07,6.45
2000 09 30 12,0,404.47,20.33,8.34
