  35.01
 944.00
 535898367
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1986 11 02 12	37670.40	0.68	323.63	0.00	13.80	13.80	1159.72
1986 11 03 12	37670.40	3.68	252.69	0.00	14.07	14.07	1142.03
1986 11 04 12	37670.40	3.33	216.17	0.00	14.06	14.06	1172.69
1986 11 05 12	37324.80	3.65	133.55	0.00	13.05	13.05	1193.25
1986 11 06 12	37324.80	8.76	240.97	0.00	14.02	14.02	1217.97
1986 11 07 12	37324.80	10.92	149.34	0.00	15.49	15.49	1389.43
1986 11 08 12	37055.25	4.16	116.20	0.00	16.31	16.31	1514.62
1986 11 09 12	36979.20	1.14	221.34	0.00	15.40	15.40	1307.15
1986 11 10 12	36979.20	5.95	218.31	0.00	12.55	12.55	1071.88
1986 11 11 12	36953.12	7.24	130.77	0.00	11.29	11.29	1046.92
1986 11 12 12	36633.60	2.52	183.49	0.00	9.46	9.46	888.83
1986 11 13 12	36633.60	3.25	240.25	0.00	4.60	4.60	589.26
1986 11 14 12	36633.60	2.94	276.17	0.00	0.12	0.12	408.89
1986 11 15 12	36449.55	3.71	286.92	0.00	1.60	1.60	499.36
1986 11 16 12	36288.00	1.30	253.89	0.00	8.06	8.06	820.27
1986 11 17 12	36288.00	0.26	250.63	0.00	11.79	11.79	989.45
1986 11 18 12	36288.00	4.15	248.65	0.00	10.51	10.51	844.87
1986 11 19 12	36103.95	7.56	250.44	0.00	7.38	7.38	676.61
1986 11 20 12	35942.40	7.62	197.64	0.00	5.91	5.91	654.13
1986 11 21 12	35942.40	1.85	345.06	0.00	4.62	4.62	555.56
1986 11 22 12	35942.40	4.07	256.38	0.00	4.56	4.56	571.18
1986 11 23 12	35916.32	5.39	206.66	0.00	7.18	7.18	779.94
1986 11 24 12	35596.80	30.82	183.19	0.00	11.36	11.36	1058.80
1986 11 25 12	35596.80	52.11	148.36	0.00	12.65	12.65	1154.20
1986 11 26 12	35596.80	30.86	215.42	0.00	12.29	12.29	1053.09
1986 11 27 12	35596.80	6.11	211.70	0.00	9.85	9.85	874.91
1986 11 28 12	35570.73	4.76	222.34	0.00	8.75	8.75	833.93
1986 11 29 12	35327.25	10.69	227.93	0.00	9.64	9.64	860.28
1986 11 30 12	35251.20	22.97	175.18	0.00	9.11	9.11	864.21
1986 12 01 12	35251.20	25.01	129.38	0.00	6.99	6.99	798.71
1986 12 02 12	35251.20	12.79	165.26	0.00	5.44	5.44	707.86
1986 12 03 12	35251.20	2.22	271.36	0.00	3.66	3.66	585.19
1986 12 04 12	35251.20	0.00	318.05	0.00	1.89	1.89	459.46
1986 12 05 12	35067.15	0.00	331.52	0.00	1.42	1.42	403.89
1986 12 06 12	34924.52	0.95	288.30	0.00	0.92	0.92	385.62
1986 12 07 12	34905.60	7.74	279.17	0.00	2.86	2.86	492.51
1986 12 08 12	34905.60	13.01	202.50	0.00	6.71	6.71	755.41
1986 12 09 12	34905.60	16.80	142.98	0.00	10.47	10.47	1024.82
1986 12 10 12	34905.60	13.34	139.04	0.00	10.88	10.88	1045.33
1986 12 11 12	34905.60	9.12	141.92	0.00	9.26	9.26	912.53
1986 12 12 12	34905.60	2.50	223.98	0.00	5.52	5.52	648.09
1986 12 13 12	34905.60	0.15	314.39	0.00	0.41	0.41	408.35
1986 12 14 12	34905.60	0.02	265.37	0.00	0.03	0.03	428.69
1986 12 15 12	34879.53	0.01	311.74	0.00	3.78	3.78	549.90
1986 12 16 12	34879.53	1.62	233.87	0.00	6.74	6.74	646.80
1986 12 17 12	34809.09	2.16	188.05	0.00	7.80	7.80	746.52
1986 12 18 12	34721.55	1.55	208.19	0.00	6.03	6.03	676.30
1986 12 19 12	34721.55	0.34	321.60	0.00	2.99	2.99	475.07
1986 12 20 12	34721.55	0.00	320.96	0.00	3.88	3.88	465.67
1986 12 21 12	34721.55	0.00	313.53	0.00	2.66	2.66	441.22
1986 12 22 12	34721.55	26.61	216.50	0.00	0.89	0.89	437.63
1986 12 23 12	34721.55	33.26	216.37	0.00	2.37	2.37	540.55
1986 12 24 12	34809.09	20.52	148.33	0.00	6.14	6.14	734.28
1986 12 25 12	34809.09	5.93	206.61	0.00	5.68	5.68	691.72
1986 12 26 12	34879.53	0.60	304.79	0.00	4.38	4.38	568.28
1986 12 27 12	34905.60	0.00	302.67	0.00	3.69	3.69	517.39
1986 12 28 12	34905.60	0.00	307.58	0.00	2.63	2.63	473.54
1986 12 29 12	34905.60	0.00	301.30	0.00	1.71	1.71	440.09
1986 12 30 12	34905.60	0.00	308.16	0.00	-0.11	-0.11	386.72
1986 12 31 12	34905.60	0.31	242.52	0.00	-0.29	-0.29	414.02
1987 01 01 12	34905.60	1.76	209.24	0.00	1.50	1.50	492.56
1987 01 02 12	34905.60	0.55	239.89	0.00	1.22	1.22	476.42
1987 01 03 12	34905.60	0.00	285.81	0.00	-1.67	-1.67	375.72
1987 01 04 12	34905.60	0.00	292.55	0.00	-0.39	-0.39	402.45
1987 01 05 12	34981.65	0.00	329.46	0.00	0.95	0.95	404.64
1987 01 06 12	35225.12	0.00	339.24	0.00	1.78	1.78	405.92
1987 01 07 12	35251.20	0.00	336.46	0.00	4.10	4.10	477.98
1987 01 08 12	35251.20	0.00	326.44	0.00	4.28	4.28	492.11
1987 01 09 12	35251.20	3.86	245.47	0.00	2.87	2.87	466.87
1987 01 10 12	35251.20	4.22	214.09	0.00	3.47	3.47	518.66
1987 01 11 12	35251.20	0.98	278.96	0.00	1.23	1.23	456.48
1987 01 12 12	35412.75	0.00	319.71	0.00	1.01	1.01	442.32
1987 01 13 12	35596.80	0.00	321.55	0.00	5.01	5.01	560.11
1987 01 14 12	35596.80	2.65	253.57	0.00	6.29	6.29	604.65
1987 01 15 12	35596.80	4.36	194.68	0.00	8.22	8.22	779.88
1987 01 16 12	35596.80	2.97	135.07	0.00	8.55	8.55	877.77
1987 01 17 12	35758.35	20.64	87.88	0.00	6.99	6.99	823.83
1987 01 18 12	35942.40	42.80	109.65	0.00	4.55	4.55	726.77
1987 01 19 12	35942.40	18.51	200.57	0.00	6.88	6.88	750.66
1987 01 20 12	35942.40	2.34	273.39	0.00	3.01	3.01	518.29
1987 01 21 12	35942.40	7.71	220.66	0.00	1.24	1.24	466.62
1987 01 22 12	36288.00	7.66	152.06	0.00	0.45	0.45	456.91
1987 01 23 12	36288.00	2.00	300.50	0.00	-4.06	-4.06	293.01
1987 01 24 12	36288.00	3.87	305.08	0.00	-4.43	-4.43	280.74
1987 01 25 12	36288.00	18.05	266.98	0.00	0.59	0.59	441.81
1987 01 26 12	36633.60	6.02	173.57	0.00	0.07	0.07	439.90
1987 01 27 12	36633.60	0.54	311.08	0.00	-6.69	-6.69	238.16
1987 01 28 12	36633.60	0.32	355.65	0.00	-4.68	-4.68	253.96
1987 01 29 12	36709.65	1.86	300.92	0.00	-1.91	-1.91	348.85
1987 01 30 12	36979.20	1.06	343.01	0.00	2.86	2.86	494.21
1987 01 31 12	36979.20	0.15	402.03	0.00	4.24	4.24	511.93
1987 02 01 12	36979.20	8.82	303.79	0.00	2.84	2.84	489.03
1987 02 02 12	37324.80	8.46	272.59	0.00	4.67	4.67	593.69
1987 02 03 12	37324.80	1.84	366.18	0.00	6.59	6.59	645.45
1987 02 04 12	37324.80	0.00	392.32	0.00	5.02	5.02	563.79
1987 02 05 12	37486.35	0.00	385.52	0.00	5.98	5.98	608.66
1987 02 06 12	37670.40	0.96	258.84	0.00	5.61	5.61	640.76
1987 02 07 12	37670.40	0.39	332.17	0.00	6.56	6.56	649.77
1987 02 08 12	37746.44	0.03	387.95	0.00	6.58	6.58	571.13
1987 02 09 12	38016.00	0.00	424.53	0.00	2.01	2.01	375.78
1987 02 10 12	38016.00	0.00	431.50	0.00	-0.63	-0.63	307.42
1987 02 11 12	38034.91	0.00	438.36	0.00	2.23	2.23	413.54
1987 02 12 12	38361.60	0.00	405.62	0.00	9.09	9.09	691.83
1987 02 13 12	38361.60	0.00	433.53	0.00	6.67	6.67	567.61
1987 02 14 12	38437.65	4.89	323.34	0.00	6.30	6.30	578.09
1987 02 15 12	38707.20	11.26	235.60	0.00	6.09	6.09	658.52
1987 02 16 12	38707.20	16.41	210.61	0.00	3.94	3.94	606.77
1987 02 17 12	38868.75	4.90	174.55	0.00	0.77	0.77	506.90
1987 02 18 12	39052.80	0.73	152.96	0.00	0.72	0.72	528.19
1987 02 19 12	39052.80	0.48	135.82	0.00	1.46	1.46	548.86
1987 02 20 12	39398.40	1.49	281.52	0.00	-0.04	-0.04	457.19
1987 02 21 12	39398.40	2.72	250.67	0.00	2.20	2.20	543.24
1987 02 22 12	39398.40	7.47	185.45	0.00	3.39	3.39	613.04
1987 02 23 12	39744.00	4.16	299.48	0.00	3.63	3.63	583.55
1987 02 24 12	39744.00	0.82	333.31	0.00	3.23	3.23	513.67
1987 02 25 12	39744.00	0.16	357.29	0.00	4.29	4.29	558.85
1987 02 26 12	40089.60	16.35	255.13	0.00	5.02	5.02	622.02
1987 02 27 12	40089.60	44.79	145.22	0.00	2.43	2.43	587.95
1987 02 28 12	40251.15	51.48	194.82	0.00	3.23	3.23	642.59
1987 03 01 12	40435.20	16.36	309.51	0.00	6.06	6.06	696.76
1987 03 02 12	40435.20	1.19	465.39	0.00	5.77	5.77	581.55
1987 03 03 12	40780.80	0.00	483.94	0.00	6.38	6.38	518.65
1987 03 04 12	40780.80	0.00	487.36	0.00	6.49	6.49	503.04
1987 03 05 12	40780.80	0.00	489.31	0.00	4.84	4.84	469.05
1987 03 06 12	41126.40	0.00	488.45	0.00	4.79	4.79	488.26
1987 03 07 12	41126.40	1.00	370.11	0.00	6.92	6.92	593.49
1987 03 08 12	41472.00	12.76	316.55	0.00	9.69	9.69	819.30
1987 03 09 12	41472.00	10.15	170.65	0.00	10.43	10.43	953.79
1987 03 10 12	41472.00	3.12	259.06	0.00	7.02	7.02	733.21
1987 03 11 12	41817.60	1.95	291.97	0.00	1.62	1.62	490.75
1987 03 12 12	41817.60	0.89	342.78	0.00	0.92	0.92	451.84
1987 03 13 12	41836.52	0.12	513.49	0.00	2.28	2.28	431.70
1987 03 14 12	42163.20	0.00	517.47	0.00	3.90	3.90	460.56
1987 03 15 12	42163.20	0.23	409.39	0.00	5.99	5.99	553.59
1987 03 16 12	42508.80	0.30	401.18	0.00	9.45	9.45	701.10
1987 03 17 12	42508.80	0.08	481.03	0.00	8.68	8.68	710.74
1987 03 18 12	42508.80	18.91	282.48	0.00	7.11	7.11	731.24
1987 03 19 12	42854.40	11.31	274.28	0.00	6.90	6.90	737.72
1987 03 20 12	42854.40	1.67	520.47	0.00	7.52	7.52	653.34
1987 03 21 12	43200.00	0.00	534.23	0.00	8.51	8.51	604.99
1987 03 22 12	43200.00	0.00	538.45	0.00	9.28	9.28	609.73
1987 03 23 12	43200.00	0.00	542.30	0.00	9.25	9.25	632.83
1987 03 24 12	43545.60	21.73	353.55	0.00	10.13	10.13	800.82
1987 03 25 12	43545.60	11.07	222.42	0.00	10.14	10.14	917.14
1987 03 26 12	43891.20	1.29	475.08	0.00	10.44	10.44	848.06
1987 03 27 12	43891.20	5.70	368.90	0.00	11.57	11.57	883.64
1987 03 28 12	43891.20	2.67	388.92	0.00	12.12	12.12	912.82
1987 03 29 12	44236.80	12.10	382.68	0.00	12.54	12.54	933.80
1987 03 30 12	44236.80	22.28	253.24	0.00	12.22	12.22	960.36
1987 03 31 12	44563.48	8.99	455.96	0.00	6.06	6.06	546.69
1987 04 01 12	44582.40	0.96	531.52	0.00	0.68	0.68	368.72
1987 04 02 12	44582.40	11.11	436.89	0.00	3.60	3.60	460.55
1987 04 03 12	44928.00	25.20	395.47	0.00	6.92	6.92	583.82
1987 04 04 12	44928.00	7.21	349.56	0.00	0.64	0.64	437.08
1987 04 05 12	44928.00	0.02	414.07	0.00	0.45	0.45	458.90
1987 04 06 12	45273.60	0.00	519.26	0.00	2.95	2.95	497.27
1987 04 07 12	45273.60	0.00	556.90	0.00	5.55	5.55	572.40
1987 04 08 12	45619.20	0.00	546.98	0.00	7.74	7.74	646.72
1987 04 09 12	45619.20	0.00	582.00	0.00	8.62	8.62	621.10
1987 04 10 12	45619.20	0.43	447.55	0.00	9.10	9.10	623.32
1987 04 11 12	45964.80	0.31	485.17	0.00	11.84	11.84	770.91
1987 04 12 12	45964.80	0.07	541.00	0.00	12.97	12.97	866.99
1987 04 13 12	46148.85	1.54	417.67	0.00	15.26	15.26	1065.54
1987 04 14 12	46310.40	35.23	376.94	0.00	16.94	16.94	1226.90
1987 04 15 12	46310.40	14.23	292.63	0.00	13.87	13.87	1093.62
1987 04 16 12	46656.00	2.96	381.56	0.00	9.33	9.33	823.05
1987 04 17 12	46656.00	0.93	321.65	0.00	9.32	9.32	834.66
1987 04 18 12	46656.00	0.08	510.64	0.00	9.85	9.85	823.82
1987 04 19 12	47001.60	0.00	558.44	0.00	11.76	11.76	851.16
1987 04 20 12	47001.60	0.00	569.25	0.00	13.93	13.93	923.51
1987 04 21 12	47001.60	0.00	579.20	0.00	15.38	15.38	991.61
1987 04 22 12	47347.20	0.00	568.66	0.00	17.62	17.62	1159.71
1987 04 23 12	47347.20	1.73	394.21	0.00	18.84	18.84	1279.02
1987 04 24 12	47531.25	0.58	561.16	0.00	14.86	14.86	984.83
1987 04 25 12	47692.80	0.00	538.73	0.00	13.26	13.26	895.35
1987 04 26 12	47692.80	0.00	582.41	0.00	11.85	11.85	800.17
1987 04 27 12	47962.35	3.61	436.49	0.00	12.54	12.54	858.49
1987 04 28 12	48038.40	1.40	459.71	0.00	14.44	14.44	946.42
1987 04 29 12	48038.40	0.06	603.07	0.00	11.35	11.35	801.26
1987 04 30 12	48365.09	0.38	436.53	0.00	17.45	17.45	1204.28
1987 05 01 12	48384.00	1.03	421.00	0.00	19.20	19.20	1283.01
1987 05 02 12	48384.00	0.38	545.36	0.00	18.72	18.72	1228.14
1987 05 03 12	48653.56	0.55	405.24	0.00	19.27	19.27	1330.18
1987 05 04 12	48729.60	1.20	400.85	0.00	18.09	18.09	1255.53
1987 05 05 12	48729.60	0.34	570.19	0.00	17.38	17.38	1080.45
1987 05 06 12	48913.65	0.00	544.94	0.00	12.34	12.34	860.13
1987 05 07 12	49075.20	0.00	579.56	0.00	14.99	14.99	984.34
1987 05 08 12	49075.20	0.00	581.70	0.00	16.42	16.42	1000.63
1987 05 09 12	49075.20	0.00	592.45	0.00	14.57	14.57	887.15
1987 05 10 12	49420.80	0.00	593.70	0.00	14.34	14.34	892.68
1987 05 11 12	49420.80	1.07	487.75	0.00	15.48	15.48	1038.71
1987 05 12 12	49420.80	6.57	403.80	0.00	17.31	17.31	1243.05
1987 05 13 12	49690.35	16.19	375.41	0.00	17.80	17.80	1348.41
1987 05 14 12	49766.40	16.19	314.47	0.00	17.57	17.57	1436.30
1987 05 15 12	49766.40	5.15	275.27	0.00	17.78	17.78	1490.74
1987 05 16 12	49766.40	0.44	500.90	0.00	17.82	17.82	1427.14
1987 05 17 12	50112.00	0.00	422.07	0.00	20.06	20.06	1593.06
1987 05 18 12	50112.00	1.49	384.02	0.00	18.98	18.98	1478.62
1987 05 19 12	50112.00	8.36	355.85	0.00	19.87	19.87	1586.50
1987 05 20 12	50112.00	7.31	344.97	0.00	20.54	20.54	1697.29
1987 05 21 12	50457.60	1.89	253.94	0.00	20.45	20.45	1778.55
1987 05 22 12	50457.60	0.30	344.18	0.00	19.57	19.57	1693.74
1987 05 23 12	50457.60	0.13	345.39	0.00	19.91	19.91	1691.23
1987 05 24 12	50457.60	0.95	421.50	0.00	19.85	19.85	1621.30
1987 05 25 12	50641.65	2.76	394.95	0.00	20.69	20.69	1640.18
1987 05 26 12	50803.20	6.88	379.30	0.00	20.79	20.79	1628.38
1987 05 27 12	50803.20	7.10	373.72	0.00	20.69	20.69	1638.57
1987 05 28 12	50803.20	12.69	363.37	0.00	20.58	20.58	1637.93
1987 05 29 12	50803.20	11.30	378.82	0.00	20.36	20.36	1584.12
1987 05 30 12	50987.25	4.92	395.40	0.00	19.83	19.83	1541.13
1987 05 31 12	51148.80	3.67	372.24	0.00	20.53	20.53	1626.76
1987 06 01 12	51148.80	1.42	392.13	0.00	21.52	21.52	1656.84
1987 06 02 12	51148.80	0.20	538.45	0.00	21.21	21.21	1536.42
1987 06 03 12	51148.80	2.63	415.33	0.00	22.00	22.00	1637.74
1987 06 04 12	51148.80	1.34	440.72	0.00	22.67	22.67	1645.98
1987 06 05 12	51174.88	0.15	583.96	0.00	18.58	18.58	1206.60
1987 06 06 12	51418.35	0.00	598.49	0.00	17.40	17.40	1070.64
1987 06 07 12	51494.40	0.00	600.08	0.00	17.68	17.68	1083.56
1987 06 08 12	51494.40	0.00	593.34	0.00	19.21	19.21	1186.56
1987 06 09 12	51494.40	0.00	588.79	0.00	19.74	19.74	1269.44
1987 06 10 12	51494.40	1.83	427.25	0.00	20.75	20.75	1482.55
1987 06 11 12	51494.40	0.70	356.95	0.00	21.50	21.50	1693.82
1987 06 12 12	51494.40	2.14	397.26	0.00	20.27	20.27	1610.38
1987 06 13 12	51494.40	1.93	367.36	0.00	21.40	21.40	1724.83
1987 06 14 12	51494.40	9.69	336.55	0.00	21.36	21.36	1742.54
1987 06 15 12	51494.40	12.43	376.75	0.00	20.60	20.60	1679.06
1987 06 16 12	51520.47	5.29	293.35	0.00	21.32	21.32	1833.80
1987 06 17 12	51590.91	9.53	328.08	0.00	21.43	21.43	1828.24
1987 06 18 12	51590.91	11.99	352.52	0.00	21.87	21.87	1830.93
1987 06 19 12	51678.45	17.73	348.88	0.00	22.25	22.25	1876.33
1987 06 20 12	51678.45	8.82	291.23	0.00	21.99	21.99	1921.38
1987 06 21 12	51678.45	3.85	332.61	0.00	22.00	22.00	1880.27
1987 06 22 12	51678.45	4.53	381.05	0.00	22.23	22.23	1819.67
1987 06 23 12	51678.45	9.49	397.42	0.00	22.90	22.90	1848.44
1987 06 24 12	51678.45	4.12	392.67	0.00	23.21	23.21	1845.54
1987 06 25 12	51590.91	12.31	381.62	0.00	22.94	22.94	1831.52
1987 06 26 12	51520.47	5.76	390.09	0.00	22.46	22.46	1783.41
1987 06 27 12	51520.47	0.60	518.38	0.00	21.29	21.29	1534.83
1987 06 28 12	51494.40	0.00	590.46	0.00	17.24	17.24	1145.61
1987 06 29 12	51494.40	0.00	588.49	0.00	18.45	18.45	1203.77
1987 06 30 12	51494.40	2.10	435.03	0.00	19.53	19.53	1377.39
1987 07 01 12	51494.40	17.62	383.67	0.00	21.81	21.81	1692.19
1987 07 02 12	51494.40	12.58	341.95	0.00	21.90	21.90	1810.01
1987 07 03 12	51494.40	24.66	302.23	0.00	21.70	21.70	1879.16
1987 07 04 12	51494.40	10.01	303.75	0.00	22.26	22.26	1959.67
1987 07 05 12	51494.40	4.12	353.71	0.00	22.74	22.74	1907.15
1987 07 06 12	51475.48	1.09	536.17	0.00	22.81	22.81	1763.74
1987 07 07 12	51332.85	0.07	419.02	0.00	23.34	23.34	1808.94
1987 07 08 12	51148.80	1.53	405.58	0.00	22.91	22.91	1782.76
1987 07 09 12	51148.80	0.76	420.45	0.00	23.35	23.35	1833.81
1987 07 10 12	51148.80	0.20	484.11	0.00	23.78	23.78	1868.73
1987 07 11 12	51148.80	0.09	454.40	0.00	23.64	23.64	1855.14
1987 07 12 12	51148.80	0.61	457.13	0.00	22.70	22.70	1747.00
1987 07 13 12	51072.75	4.16	427.50	0.00	23.28	23.28	1788.21
1987 07 14 12	50829.27	1.32	525.53	0.00	23.77	23.77	1720.76
1987 07 15 12	50803.20	0.00	568.31	0.00	19.80	19.80	1326.67
1987 07 16 12	50803.20	0.00	576.85	0.00	18.49	18.49	1243.57
1987 07 17 12	50803.20	0.00	555.91	0.00	20.03	20.03	1416.03
1987 07 18 12	50803.20	0.00	495.61	0.00	21.20	21.20	1569.05
1987 07 19 12	50483.68	0.00	538.55	0.00	20.54	20.54	1491.21
1987 07 20 12	50457.60	0.00	554.42	0.00	21.64	21.64	1535.20
1987 07 21 12	50457.60	0.00	547.77	0.00	22.41	22.41	1592.32
1987 07 22 12	50457.60	0.00	544.49	0.00	22.80	22.80	1623.42
1987 07 23 12	50296.05	0.00	551.73	0.00	22.95	22.95	1632.45
1987 07 24 12	50112.00	0.00	550.60	0.00	23.98	23.98	1718.27
1987 07 25 12	50112.00	3.02	429.89	0.00	24.22	24.22	1779.31
1987 07 26 12	50112.00	1.24	483.90	0.00	24.31	24.31	1804.61
1987 07 27 12	49950.45	9.10	409.06	0.00	24.10	24.10	1823.84
1987 07 28 12	49766.40	3.11	442.91	0.00	24.26	24.26	1840.50
1987 07 29 12	49766.40	9.97	398.44	0.00	23.86	23.86	1836.78
1987 07 30 12	49766.40	4.92	363.09	0.00	23.80	23.80	1899.36
1987 07 31 12	49446.88	4.40	391.39	0.00	23.06	23.06	1828.29
1987 08 01 12	49420.80	2.51	385.57	0.00	24.17	24.17	1933.45
1987 08 02 12	49420.80	3.58	363.26	0.00	24.31	24.31	1987.24
1987 08 03 12	49344.75	3.32	409.02	0.00	24.13	24.13	2002.49
1987 08 04 12	49075.20	4.06	355.16	0.00	24.92	24.92	2086.62
1987 08 05 12	49075.20	6.44	377.03	0.00	24.50	24.50	1989.06
1987 08 06 12	49075.20	12.99	365.43	0.00	24.09	24.09	1957.08
1987 08 07 12	48729.60	7.30	357.08	0.00	23.43	23.43	1948.93
1987 08 08 12	48729.60	8.89	344.23	0.00	23.72	23.72	1989.07
1987 08 09 12	48729.60	3.34	417.81	0.00	23.46	23.46	1936.37
1987 08 10 12	48384.00	0.66	395.93	0.00	25.01	25.01	2033.60
1987 08 11 12	48384.00	0.14	512.91	0.00	23.15	23.15	1799.12
1987 08 12 12	48384.00	0.00	424.31	0.00	22.91	22.91	1862.34
1987 08 13 12	48038.40	0.00	400.80	0.00	21.40	21.40	1777.29
1987 08 14 12	48038.40	0.00	400.27	0.00	20.74	20.74	1710.02
1987 08 15 12	48038.40	0.21	404.66	0.00	20.26	20.26	1614.80
1987 08 16 12	47692.80	8.13	364.40	0.00	20.64	20.64	1650.57
1987 08 17 12	47692.80	6.12	373.96	0.00	21.87	21.87	1740.51
1987 08 18 12	47692.80	1.15	492.53	0.00	22.75	22.75	1799.96
1987 08 19 12	47347.20	0.23	392.30	0.00	23.42	23.42	1846.77
1987 08 20 12	47347.20	0.08	546.80	0.00	21.63	21.63	1506.39
1987 08 21 12	47347.20	0.00	551.06	0.00	21.35	21.35	1447.11
1987 08 22 12	47001.60	0.00	536.72	0.00	22.69	22.69	1616.43
1987 08 23 12	47001.60	0.15	485.71	0.00	23.92	23.92	1736.53
1987 08 24 12	46925.56	0.05	525.05	0.00	21.47	21.47	1545.93
1987 08 25 12	46656.00	1.70	386.95	0.00	21.60	21.60	1670.04
1987 08 26 12	46656.00	0.57	485.74	0.00	22.89	22.89	1793.50
1987 08 27 12	46310.40	0.00	491.65	0.00	24.06	24.06	1851.99
1987 08 28 12	46310.40	0.14	435.30	0.00	23.70	23.70	1799.58
1987 08 29 12	46310.40	1.74	409.38	0.00	23.53	23.53	1784.54
1987 08 30 12	45964.80	0.58	483.87	0.00	21.72	21.72	1627.09
1987 08 31 12	45964.80	0.14	319.37	0.00	21.52	21.52	1698.26
1987 09 01 12	45964.80	0.04	512.00	0.00	19.25	19.25	1383.72
1987 09 02 12	45619.20	0.00	535.20	0.00	19.22	19.22	1281.78
1987 09 03 12	45619.20	0.01	517.97	0.00	19.47	19.47	1301.37
1987 09 04 12	45273.60	0.33	366.35	0.00	20.15	20.15	1480.12
1987 09 05 12	45273.60	27.53	270.67	0.00	18.91	18.91	1560.44
1987 09 06 12	45273.60	52.48	194.54	0.00	18.19	18.19	1680.58
1987 09 07 12	44928.00	16.70	199.04	0.00	20.20	20.20	1900.53
1987 09 08 12	44928.00	2.12	335.20	0.00	21.67	21.67	1865.42
1987 09 09 12	44678.91	5.81	348.89	0.00	21.36	21.36	1716.12
1987 09 10 12	44582.40	7.02	359.50	0.00	20.96	20.96	1643.76
1987 09 11 12	44582.40	20.19	340.33	0.00	20.87	20.87	1692.75
1987 09 12 12	44236.80	10.11	258.57	0.00	20.98	20.98	1799.18
1987 09 13 12	44236.80	4.04	328.23	0.00	19.51	19.51	1598.14
1987 09 14 12	44236.80	0.91	477.91	0.00	19.60	19.60	1496.52
1987 09 15 12	43891.20	1.98	368.67	0.00	20.01	20.01	1552.77
1987 09 16 12	43891.20	6.56	318.49	0.00	20.37	20.37	1677.60
1987 09 17 12	43545.60	2.95	272.29	0.00	21.10	21.10	1828.54
1987 09 18 12	43545.60	0.40	319.55	0.00	21.78	21.78	1843.66
1987 09 19 12	43545.60	4.45	314.69	0.00	21.05	21.05	1710.69
1987 09 20 12	43200.00	2.28	289.68	0.00	18.43	18.43	1466.85
1987 09 21 12	43200.00	0.27	503.54	0.00	14.93	14.93	1061.83
1987 09 22 12	42854.40	0.00	504.04	0.00	14.85	14.85	994.16
1987 09 23 12	42854.40	0.00	494.03	0.00	14.20	14.20	960.78
1987 09 24 12	42854.40	0.00	500.69	0.00	13.55	13.55	918.01
1987 09 25 12	42508.80	0.00	499.44	0.00	14.43	14.43	960.89
1987 09 26 12	42508.80	0.00	495.14	0.00	15.18	15.18	1001.96
1987 09 27 12	42163.20	0.00	480.30	0.00	15.53	15.53	1064.02
1987 09 28 12	42163.20	0.69	366.02	0.00	15.75	15.75	1171.78
1987 09 29 12	42163.20	16.25	285.92	0.00	17.60	17.60	1379.88
1987 09 30 12	41817.60	7.58	356.78	0.00	15.93	15.93	1181.04
1987 10 01 12	41817.60	0.75	481.17	0.00	12.25	12.25	843.92
1987 10 02 12	41721.09	0.00	497.28	0.00	10.92	10.92	713.05
1987 10 03 12	41472.00	0.00	488.88	0.00	12.17	12.17	728.44
1987 10 04 12	41472.00	0.00	485.44	0.00	7.97	7.97	584.65
1987 10 05 12	41126.40	0.00	492.54	0.00	9.48	9.48	646.68
1987 10 06 12	41126.40	0.15	368.75	0.00	11.45	11.45	755.85
1987 10 07 12	41126.40	0.05	460.58	0.00	9.98	9.98	691.92
1987 10 08 12	40780.80	0.00	466.45	0.00	7.60	7.60	591.35
1987 10 09 12	40780.80	0.00	474.88	0.00	7.54	7.54	574.20
1987 10 10 12	40435.20	0.00	472.52	0.00	9.64	9.64	655.07
1987 10 11 12	40435.20	0.00	465.85	0.00	12.67	12.67	797.63
1987 10 12 12	40435.20	0.06	341.94	0.00	15.27	15.27	934.28
1987 10 13 12	40089.60	0.16	367.71	0.00	8.13	8.13	623.11
1987 10 14 12	40089.60	0.05	457.24	0.00	6.50	6.50	527.61
1987 10 15 12	40089.60	0.00	455.58	0.00	7.12	7.12	542.12
1987 10 16 12	39744.00	0.00	455.99	0.00	8.94	8.94	589.37
1987 10 17 12	39744.00	0.00	449.46	0.00	10.71	10.71	651.48
1987 10 18 12	39474.44	0.00	445.11	0.00	12.01	12.01	707.12
1987 10 19 12	39398.40	0.00	438.02	0.00	12.67	12.67	767.44
1987 10 20 12	39398.40	1.76	306.39	0.00	13.79	13.79	890.78
1987 10 21 12	39052.80	0.94	315.11	0.00	10.26	10.26	728.52
1987 10 22 12	39052.80	0.12	427.37	0.00	3.58	3.58	436.24
1987 10 23 12	39052.80	0.00	433.89	0.00	4.51	4.51	434.72
1987 10 24 12	38707.20	0.00	429.82	0.00	7.87	7.87	561.60
1987 10 25 12	38707.20	0.00	399.49	0.00	11.32	11.32	753.23
1987 10 26 12	38707.20	8.61	283.64	0.00	11.17	11.17	814.97
1987 10 27 12	38361.60	4.29	256.62	0.00	11.09	11.09	854.20
1987 10 28 12	38361.60	0.47	378.43	0.00	6.77	6.77	602.76
