Year Mnth Day Hr,PRCP(mm/day)_nldas,PRCP(mm/day)_maurer,prcp(mm/day)_daymet,srad(W/m2)_daymet,tmax(C)_daymet,tmin(C)_daymet,vp(Pa)_daymet
1999 05 22 12,0,0,0,467.77,31.52,16.83,1728.83
1999 05 23 12,0,0.01,0,465.6,32.52,17.85,1833.83
1999 05 24 12,0.1,0,0,440.77,31.99,18.52,1963.12
1999 05 25 12,0,0,0,532.38,31.47,13.63,1330.77
1999 05 26 12,2.98,2.42,0,496.89,32,15.81,1559.47
1999 05 27 12,4.91,1.76,5.33,325.15,30.8,17.33,1973.32
1999 05 28 12,0,0.32,0,469.11,29.76,15.18,1568.19
1999 05 29 12,1.58,0.04,0,437.05,31,17.6,1858.05
1999 05 30 12,0,0.01,0,412.39,30.25,17.79,1906.56
1999 05 31 12,0,0,0,443.68,30.98,17.11,1772.42
1999 06 01 12,0,0,0,411.59,31.03,18.36,1973.23
1999 06 02 12,0,0,0,427.86,31.56,18.4,1892.43
1999 06 03 12,0.95,0.02,0,433.69,32.95,19.44,1992.36
1999 06 04 12,0.09,0.19,0,450.87,34.49,20,2003.05
1999 06 05 12,0.96,0.84,0,486.28,35.32,18.96,1809.58
1999 06 06 12,1.71,3.58,0,445.32,33.21,19.04,1889.59
1999 06 07 12,0.43,1.11,0,457.96,32.59,18,1755.03
1999 06 08 12,0.14,0,0,453.55,33.5,19.03,1843
1999 06 09 12,0,0,0,484.4,35,18.89,1722.54
1999 06 10 12,9.5,5.43,0,463.63,34.5,19.47,1832.92
1999 06 11 12,17.1,4.72,13.84,282.17,31.47,20,2319.48
1999 06 12 12,0.73,2.13,11.84,245.87,30.01,20.4,2383.99
1999 06 13 12,0.11,0.39,0.72,372.69,31.27,19.5,2049.49
1999 06 14 12,1.73,0.35,0,380.88,32.04,20.74,2188.71
1999 06 15 12,5.38,2.59,0.21,356.53,31.98,21.5,2347.72
1999 06 16 12,10.38,1.53,7.94,280.97,32.28,21,2461.84
1999 06 17 12,1.02,0.24,3.42,287.7,32.46,20.9,2464.66
1999 06 18 12,0.05,0,0,422.98,30.32,18.06,1840.32
1999 06 19 12,0,0,0,439.41,29.58,16.92,1694.8
1999 06 20 12,0,0,0,422.33,28.45,16.63,1699.24
1999 06 21 12,0.17,0,0,340.02,27,17.97,2015.2
1999 06 22 12,1.57,0,0,375.23,29.08,18.89,2043.99
1999 06 23 12,1.82,0.81,0,382.54,30.5,19.96,2154.94
1999 06 24 12,3.84,1.81,4.47,262.94,29.95,20.56,2407.51
1999 06 25 12,7.85,3.88,4,224.49,29.17,21.41,2546.38
1999 06 26 12,6.7,6.17,6.86,247.47,30,21.4,2543.3
1999 06 27 12,16.83,8.85,12.06,223.91,28.76,21.28,2524.55
1999 06 28 12,20.77,7.32,12.41,178.62,27.09,21.39,2542.99
1999 06 29 12,25.57,19.27,9.81,225.62,29.36,21.98,2637.46
1999 06 30 12,9.03,19.08,30.01,309.06,32.48,21.38,2540.67
1999 07 01 12,7.83,5.23,11.94,327.34,32.5,20.55,2408.24
1999 07 02 12,0.96,0.47,0,421.06,32.31,21,2476.1
1999 07 03 12,0.71,0.06,0,439.36,32.51,20.57,2385.73
1999 07 04 12,0.13,0.12,0,413.96,32.5,21.53,2564.79
1999 07 05 12,1.18,0.04,0,426.52,32.89,21.52,2544.07
1999 07 06 12,0.88,20.6,0,439.79,34.51,22.33,2644.38
1999 07 07 12,27.45,9.29,28.59,344.32,34.5,21.5,2559.48
1999 07 08 12,0.14,0.81,0,433.02,32.38,20.99,2478.15
1999 07 09 12,0,0,0,438.07,33.09,21.46,2553.66
1999 07 10 12,4.02,5.35,0,436.33,33.48,21.92,2627.73
1999 07 11 12,2.35,6.96,0,410.99,33,22.47,2715.24
1999 07 12 12,14.83,8.62,11.65,307.92,32.39,22,2640
1999 07 13 12,11.13,5.95,14.83,318.79,29.88,19.5,2279.48
1999 07 14 12,2.72,3.15,0,224.34,24.08,19.49,2276.41
1999 07 15 12,2.14,1.14,2.32,298.11,27.36,20.35,2376.37
1999 07 16 12,1.84,5.62,0,420.6,30.94,20.77,2443.64
1999 07 17 12,18.34,6.85,16.45,322.78,31.5,20.89,2462.62
1999 07 18 12,0.89,5.18,5.61,323.91,31.38,20.82,2451.81
1999 07 19 12,1.48,1.32,0,454.39,32.05,20.53,2404.83
1999 07 20 12,2.03,0.14,0,461.6,33.42,21.22,2515.11
1999 07 21 12,0.08,0.03,0,443.85,34.08,22.34,2694.84
1999 07 22 12,1.52,0.69,0,443.5,34.97,22.97,2794.56
1999 07 23 12,0.12,2.07,0.04,440.38,35.61,23.47,2875.58
1999 07 24 12,6.45,2.04,7.64,349.62,36,22.44,2710.83
1999 07 25 12,9.28,3.45,7.87,340.52,34.81,22.53,2725.47
1999 07 26 12,0.1,1,0,455.63,34.2,21.53,2564.15
1999 07 27 12,0.1,0,0,463.61,36.29,22.38,2701.05
1999 07 28 12,0,0,0,447.91,36.91,23.32,2851.66
1999 07 29 12,2.19,0.51,0,437.17,36.37,23.32,2850.73
1999 07 30 12,0.04,0.17,0,436.61,35.97,23.02,2802.75
1999 07 31 12,0,0,0,466.82,37.87,22.75,2760.66
1999 08 01 12,0,0,0,452.45,38.5,23.76,2942.39
1999 08 02 12,3.37,2.18,0,433.93,38.4,24.5,3080
1999 08 03 12,2.1,0.73,0,445.05,37,22.99,2798.15
1999 08 04 12,0,0,0,442.53,34.69,21.41,2545.48
1999 08 05 12,0,0,0,460.86,34.68,20.5,2400
1999 08 06 12,0,0,0,456.55,35.85,21.49,2549.06
1999 08 07 12,0,0,0,458.3,36.84,21.99,2622.6
1999 08 08 12,2.3,2.84,0,442.41,37.03,22.75,2758.49
1999 08 09 12,4.68,2.41,0,414.94,36.39,23.46,2873.66
1999 08 10 12,0.08,0.49,0,420.97,35.48,22.46,2712.84
1999 08 11 12,0.45,0,0,407.22,35.55,23,2800.45
1999 08 12 12,0.67,0.13,0,427.79,37.49,23.39,2861.97
1999 08 13 12,0.93,0.87,0,438.89,38,22.96,2785.64
1999 08 14 12,0.09,3.54,0.05,435.42,37.88,22.76,2760.19
1999 08 15 12,0.02,1.09,0,455.92,37,21.04,2472.53
1999 08 16 12,0.59,0.94,0,401.48,35,21.99,2639.08
1999 08 17 12,0.21,6.92,0,387.53,35.01,22.49,2719.08
1999 08 18 12,8.36,2.36,11.97,299.63,36.25,22.88,2780.32
1999 08 19 12,1.35,0.17,0,401.84,37.33,23.46,2873.34
1999 08 20 12,4.48,2.45,0,408.65,36.5,22.5,2720
1999 08 21 12,10.69,9.33,22.07,314.51,35,20.83,2452.08
1999 08 22 12,0.67,3.71,0,384.62,34.04,21.52,2563.62
1999 08 23 12,1.58,3.32,0,394.35,33.22,20.49,2399.08
1999 08 24 12,17.27,6.77,8.95,273.52,33,21.49,2558.71
1999 08 25 12,1.72,15.18,18.19,279.42,32.53,20.76,2442.26
1999 08 26 12,0,4.42,0,371.82,33.01,21.18,2508.02
1999 08 27 12,0.19,0,0,392.57,34.1,21.19,2510.46
1999 08 28 12,0,0.49,0,410.28,34.27,20.5,2400
1999 08 29 12,3.02,0.74,0,379.72,33.98,21.54,2565.67
1999 08 30 12,0.26,0.19,0,401.78,33.83,20.5,2400
1999 08 31 12,0,0,0,430.35,33.62,19,2199.34
1999 09 01 12,0,0,0,472.3,30.71,14.5,1640.26
1999 09 02 12,0,0,0,482.15,32.54,15.03,1722.75
1999 09 03 12,0,0,0,451.33,34,17.76,2041.4
1999 09 04 12,0.02,0,0,432.59,34.49,19,2199.53
1999 09 05 12,0,0,0,441.1,36.05,19.5,2280
1999 09 06 12,2.12,2.94,0,428.8,36.99,20.68,2429.01
1999 09 07 12,0,0.98,0,398.76,36,21.47,2555.6
1999 09 08 12,0.01,0,0,380.37,33,20,2320
1999 09 09 12,17.81,17.69,0,400.5,34.5,20.14,2341.94
1999 09 10 12,1.03,6.86,19.54,296.51,31.96,18.32,2105.37
1999 09 11 12,0,0.32,0,412.76,32.49,17.83,2052.63
1999 09 12 12,0,0,0,442.45,32.5,16.13,1820.1
1999 09 13 12,0,0,0,446.73,31.5,15.01,1721.05
1999 09 14 12,0,0,0,436.69,31.53,15.5,1760
1999 09 15 12,0,0,0,400.32,32.5,18.02,2081.55
1999 09 16 12,0,0,0,422.95,30.94,15.5,1760
1999 09 17 12,0,0,0,447.77,31,13.86,1589.13
1999 09 18 12,0.11,1.48,0,406.32,30.39,15.64,1770.95
1999 09 19 12,9.49,29.77,18.89,234.14,29.48,18.95,2191.67
1999 09 20 12,16.74,29.16,22.83,112.2,23,18.5,2121.05
1999 09 21 12,11.99,7.31,19.27,148.07,23.97,18.03,2082.07
1999 09 22 12,0.27,0.28,0,385.66,27,14.01,1601.02
1999 09 23 12,0.02,0,0,442.77,25.4,9.47,1197.73
1999 09 24 12,0,0,0,452.62,26.61,9.5,1200.13
1999 09 25 12,0,0,0,448.04,28.56,11.02,1321.23
1999 09 26 12,17.26,15.78,0,388.07,29,14.78,1685.83
1999 09 27 12,7.95,13.56,19.71,191.46,28,19.36,2257.48
1999 09 28 12,0.89,4.59,7.19,156.84,28.46,21.44,2550.26
1999 09 29 12,0.65,0.64,1.17,321.95,31.97,20.03,2325.3
1999 09 30 12,0.03,0.01,0,427.26,30,12.9,1472
1999 10 01 12,0,0,0,407.7,24.66,9.84,1227.23
1999 10 02 12,0,0,0,425.2,26.88,10.41,1273.11
1999 10 03 12,0,0,0,380.28,29.47,15.13,1730.25
1999 10 04 12,15.56,10.69,1.96,277.26,29.5,18.61,2137.43
1999 10 05 12,13.89,4.04,15.04,168.95,24.94,17.64,2022.86
1999 10 06 12,0.04,0.17,0,330.06,24.84,13.78,1582.41
1999 10 07 12,0,0,0,398.13,26.04,11.3,1344.06
1999 10 08 12,0,0,0,371.58,26.95,13.42,1546.62
1999 10 09 12,0.16,0.1,0,313.17,27.99,17,1920
1999 10 10 12,19.8,12.34,1.88,228.59,27.91,19.84,2307.43
1999 10 11 12,0.03,5.55,19.41,170.2,27.5,19.96,2317.17
1999 10 12 12,26.07,24.8,0,172.05,24.5,19.13,2220.43
1999 10 13 12,0.23,10.78,26.5,123.74,23.31,18.36,2108.53
1999 10 14 12,0,0.89,0,273.83,25.72,17.09,1934.26
1999 10 15 12,0,0,0,306.31,27.53,17.45,1992.66
1999 10 16 12,0,0,0,302.34,26.86,17.08,1932.73
1999 10 17 12,0,0,0,342.83,28.48,16.65,1892.05
1999 10 18 12,0,0,0,365.07,28,15,1719.29
1999 10 19 12,0.02,0,0,383.97,27,12.75,1460.2
1999 10 20 12,0.5,0.18,0,341.38,25.8,13.96,1596.83
1999 10 21 12,0,0.07,0,236.43,19.45,12.35,1427.68
1999 10 22 12,0.07,0,0,407.1,21.98,6,920
1999 10 23 12,0,0,0,413.06,23.5,6.36,948.53
1999 10 24 12,0,0,0,419.49,20.32,2.78,742.09
1999 10 25 12,0,0,0,421.06,19.29,1.5,680
1999 10 26 12,0,0,0,415.98,20.47,2.48,720
1999 10 27 12,0,0,0,412.69,22.97,4.01,801.05
1999 10 28 12,0,0,0,399.92,25,6.5,960
1999 10 29 12,0,0.01,0,396.94,25.5,6.5,960
1999 10 30 12,0,0,0,375.93,25.43,8.5,1120.34
1999 10 31 12,0,0,0,325.42,27.08,13.44,1550.27
1999 11 01 12,11.73,7.54,0,260.58,26.11,16.12,1818.65
1999 11 02 12,3.12,4.09,14.39,204.35,20.99,11.03,1322.41
1999 11 03 12,0.01,0.53,0,371.35,16.65,1,640
1999 11 04 12,0,0,0,371.2,15.5,-0.5,600
1999 11 05 12,0,0,0,384.33,19.55,1,640
1999 11 06 12,0,0,0,383.97,22.66,3,760
1999 11 07 12,0,0,0,371.97,24.62,5.5,920
1999 11 08 12,0,0,0,353.7,25.27,7.5,1040
1999 11 09 12,0,0,0,348.8,26,8,1080
1999 11 10 12,0,0,0,332.86,26.01,9,1160
1999 11 11 12,0,0,0,314.51,25.82,10,1240
1999 11 12 12,0,0,0,290.29,24.72,10.5,1280
1999 11 13 12,0,0.01,0,264.22,19.67,7.5,1040
1999 11 14 12,0,0,0,322.71,24.46,7.04,1003.18
1999 11 15 12,0,0,0,297.46,24.5,9,1160
1999 11 16 12,0,0,0,335.57,21.5,2.58,726
1999 11 17 12,0,0,0,317.49,18.5,1.5,680
1999 11 18 12,0,0,0,320.41,17.56,0.23,618.57
1999 11 19 12,0.02,0.01,0,317.74,20.5,2.67,734.16
1999 11 20 12,5.52,21.76,0,285.4,23.87,8.02,1081.71
1999 11 21 12,29.42,21.15,37.21,176.86,24.4,11.84,1387.28
1999 11 22 12,0,4.64,0,195.92,22.5,12.53,1442.73
1999 11 23 12,0.12,0,0,176.8,21.8,13,1480
1999 11 24 12,0.24,2.18,0,171.49,21.93,13.5,1560
1999 11 25 12,4.22,4.06,3.99,120.48,23.5,15.59,1766.98
1999 11 26 12,5.71,1.47,5.12,127.08,21.77,13.64,1570.97
1999 11 27 12,0.85,0.12,0,293.91,19.5,4.04,802.88
1999 11 28 12,0,0,0,307.12,21.5,4.5,840
1999 11 29 12,0.52,0,0,301.23,22.5,5.71,920
1999 11 30 12,0,0,0,317.6,20.22,1.67,693.68
1999 12 01 12,0,0,0,288.02,12.48,-2.5,519.99
1999 12 02 12,0,0,0,284.38,11.79,-3,480
1999 12 03 12,0,0,0,315.1,17.06,-1.5,560
1999 12 04 12,0,0,0,310.71,20.06,1.5,680
1999 12 05 12,0,2.82,0,283.29,22.69,6.43,954.63
1999 12 06 12,3.72,1.82,5,194.2,24,9.63,1210.47
1999 12 07 12,0,0.29,0,291.25,15,-1,560
1999 12 08 12,0,0,0,290.71,15.5,-0.46,600
1999 12 09 12,0.04,0,0,262.18,18.4,4.54,843.26
1999 12 10 12,0.99,0.36,0,220.28,21.41,10.16,1252.81
1999 12 11 12,0,0.12,0,292.53,20.57,3.82,800
1999 12 12 12,0,0.34,0,254.31,20.49,7,1000
1999 12 13 12,11.02,4.51,3.12,139.05,20.93,11.99,1399.35
1999 12 14 12,0.03,3.69,10.34,162.96,19.05,8.32,1105.84
1999 12 15 12,0,0.74,0,271.51,16.71,2.5,720
1999 12 16 12,0,0,0,306.97,19.5,1.53,682.14
1999 12 17 12,0,0,0,296.84,14.5,-1.79,537.02
1999 12 18 12,0,21.88,0,272.18,15.09,1.08,646.78
1999 12 19 12,35.42,13.44,33.69,139.76,15.5,7,1000
1999 12 20 12,0,2.78,2.47,95.83,13.01,8.07,1085.35
1999 12 21 12,21.55,10.83,4.85,154.16,15.52,6.23,938.87
1999 12 22 12,0.06,9.28,21.23,100.67,12.61,6.99,998.92
1999 12 23 12,0.03,1.92,0,291.36,14.5,-0.5,600
1999 12 24 12,0,0,0,295.21,14,-1.5,560
1999 12 25 12,0,0,0,299.28,13,-3.01,480
1999 12 26 12,0,0,0,285.12,10.11,-4.45,440
1999 12 27 12,0,0,0,285.92,13.5,-1.36,560
1999 12 28 12,0,0,0,297.35,13.5,-2.45,520
1999 12 29 12,0,0,0,287.47,12.99,-1.86,530.86
1999 12 30 12,0,0,0,306.64,15.5,-1.42,560
1999 12 31 12,0.4,0,0,297.48,19,2.64,731.52
2000 01 01 12,0.08,0.01,0,233.8,19.35,8.98,1158.73
2000 01 02 12,0,0,0,261.49,22.39,9.96,1236.96
2000 01 03 12,0,0,0,271.69,23.88,10.5,1280
2000 01 04 12,7.76,3.55,0,259.2,24.5,12,1400
2000 01 05 12,0,3.19,7.82,246.75,19.53,1.14,651.58
2000 01 06 12,0,0.67,0,284.1,12,-0.7,584.36
2000 01 07 12,0,0,0,266.18,13.5,1.95,716.33
2000 01 08 12,0.01,0.04,0,308.56,17.5,2.36,720
2000 01 09 12,3.3,20.11,0,283.07,18.55,5.53,920
2000 01 10 12,29.19,13.17,33.05,177.21,20.84,10.5,1280
2000 01 11 12,0,2.16,0,317.39,20.6,4.5,840
2000 01 12 12,0,0,0,331.59,22.47,4.5,840
2000 01 13 12,0.33,0.12,0,309.33,22,6.72,977.28
2000 01 14 12,0,0.04,0,351.86,21.39,0.91,640
2000 01 15 12,0,0,0,327.25,12.02,-3.26,480
2000 01 16 12,0,0.04,0,349.75,16,-2.24,520
2000 01 17 12,0.29,0.02,0,344.02,19,1.24,659.41
2000 01 18 12,0.05,0.08,0,209.47,18.86,10.5,1280.13
2000 01 19 12,1.56,0.95,0,297.51,19.46,6.28,942.13
2000 01 20 12,0.36,0.31,1.86,237.93,16.5,6.5,960
2000 01 21 12,0,0,0,343.25,12.53,-3.33,480
2000 01 22 12,0,4.99,0,297.35,8.69,-3.17,480
2000 01 23 12,36.24,31.24,14.7,164.53,9.39,1.41,673.16
2000 01 24 12,20.75,19.35,39.63,166.78,9.8,1.76,700.97
2000 01 25 12,0,4.03,7.38,177.01,5.4,-3,480
2000 01 26 12,0.4,0.29,0,283.99,5.96,-4.66,440
2000 01 27 12,0,0,0,287.23,4.05,-6.56,360
2000 01 28 12,0,1.78,0,307.99,6.51,-5.22,422.26
2000 01 29 12,11.91,9.67,7.6,108.36,4.58,-0.2,600
2000 01 30 12,6.95,5.59,10.4,87.59,3.98,0.25,620.4
2000 01 31 12,0,0.85,3.97,152.08,4.73,-2,520.37
2000 02 01 12,0,0,0,334.84,8.9,-4,440
2000 02 02 12,0,0,0,367.68,12.5,-3.1,480
2000 02 03 12,0,0,0,379.56,11.68,-4.91,440
2000 02 04 12,0,0,0,393.4,15.5,-2.97,482.48
2000 02 05 12,0,0,0,389.54,15.07,-2.76,499.21
2000 02 06 12,0,0,0,385.49,11.82,-5,439.99
2000 02 07 12,0,0,0,393.84,14.5,-3.36,480
2000 02 08 12,0,0,0,392.59,16.67,-1.18,560
2000 02 09 12,0,0,0,383.34,18,0.96,640
2000 02 10 12,0,0,0,398.13,18.5,0,600
2000 02 11 12,0.06,0,0,395.29,21.5,3.04,763.09
2000 02 12 12,0.18,0,0,314.16,22.32,10,1240
2000 02 13 12,0,10.19,0,299.46,22.83,11.53,1362.05
2000 02 14 12,25.96,13.66,25.86,194.86,21.43,12.26,1420.51
2000 02 15 12,0,3.42,0,421.21,23.5,3.2,776.26
2000 02 16 12,0,0.04,0,412.38,22.15,3.72,799.98
2000 02 17 12,0,0.01,0,393.57,24.91,7.78,1062
2000 02 18 12,0.04,0,0,340.77,24.76,11.5,1359.67
2000 02 19 12,0.25,0.14,0,350,25.15,11.29,1343.38
2000 02 20 12,0,0.05,0,441.6,23,1.5,680
2000 02 21 12,0,0,0,422.22,17.99,0.01,600.52
2000 02 22 12,0,0,0,410.36,17.42,0.5,640
2000 02 23 12,0,0,0,399.15,19.09,2.81,744.87
2000 02 24 12,0,0,0,389.81,22.2,6.06,924.86
2000 02 25 12,0,0,0,384.81,24.5,8.41,1113.19
2000 02 26 12,0,0.01,0,382.26,25.5,9.38,1190.68
2000 02 27 12,12.75,9.88,0,358.61,24.5,10.09,1246.99
2000 02 28 12,0,3.29,12.95,258.16,18.49,5.49,918.98
2000 02 29 12,0,1.65,0,399.16,20.78,4.09,807.5
2000 03 01 12,0,0,0,401.09,22.5,5.4,912.21
2000 03 02 12,0,0,0,353.62,23.3,9.03,1162.05
2000 03 03 12,0.14,6.6,0,426.47,23.56,4.63,850.58
2000 03 04 12,13.31,3.32,12.18,309.81,24.41,6.5,960
2000 03 05 12,0,0.37,0,368.67,19.72,5.41,912.42
2000 03 06 12,0,0,0,417.48,23.5,5.89,920
2000 03 07 12,0,0,0,427.05,25.5,6.97,997.53
2000 03 08 12,0,0,0,420.91,26.5,8.42,1113.29
2000 03 09 12,0,0,0,398.76,26.5,10.07,1245.76
2000 03 10 12,0,0,0,333.83,25.16,12.52,1441.48
2000 03 11 12,15.25,16.85,0,314.54,25.16,13.57,1565.81
2000 03 12 12,6.59,7.85,23.28,330.26,20.65,3.16,772.85
2000 03 13 12,0,0.75,0,412.77,15.63,0.5,639.99
2000 03 14 12,0,0,0,429.26,17.91,1.59,687.35
2000 03 15 12,0.04,7.34,0,423.73,21,4.62,849.93
2000 03 16 12,19.98,9.2,13.97,288.72,24,9.61,1208.75
2000 03 17 12,1.95,4.37,9.78,195.03,22.37,13.55,1563.91
2000 03 18 12,0,0.71,0,403.57,24.32,9.41,1193.07
2000 03 19 12,0.88,14.93,0,189.82,15.34,9.51,1200.41
2000 03 20 12,22.51,8,27.23,187.7,17.81,9.98,1238.72
2000 03 21 12,0.43,1.05,0,425.65,21.33,6.46,956.72
2000 03 22 12,0.18,0.02,0,442.41,24,7.99,1078.88
2000 03 23 12,0.07,0.01,0,429.56,23.99,8.85,1147.95
2000 03 24 12,0.03,0,0,442.87,23.17,7.56,1044.86
2000 03 25 12,0,0,0,455.76,25.53,8.89,1151.44
2000 03 26 12,1.9,14.83,0,403.84,27,13,1480
2000 03 27 12,11.5,7.16,12.84,268.33,25,13.4,1544.21
2000 03 28 12,1.04,0.74,3,340.08,22.35,6.81,984.64
2000 03 29 12,5.32,16.21,0,464.81,25,8.4,1111.75
2000 03 30 12,45.72,29.25,34.53,281.86,23.98,11.98,1398.2
2000 03 31 12,0.87,17.7,27.32,256.17,21.85,11.52,1361.47
2000 04 01 12,0,3.26,0,404.56,24.99,11.98,1398.25
2000 04 02 12,0.03,0.06,0,329.86,25,15.06,1724.88
2000 04 03 12,1.13,1,0,277.45,24.5,16.5,1880
2000 04 04 12,1.05,0.65,2,413.07,25.82,13,1480.15
2000 04 05 12,0,0.25,0,506.73,17.79,1.46,676.73
2000 04 06 12,0,0.05,0,516.87,20.19,3,760
2000 04 07 12,0,0,0,519.42,25,6.85,988.11
2000 04 08 12,0.62,0.4,0,500.66,25,8.22,1097.49
2000 04 09 12,0.12,0.13,0.36,543.36,20.2,1.06,644.47
2000 04 10 12,0,0,0,529.71,19.54,1.52,681.38
2000 04 11 12,0.01,0,0,528.46,24.02,5.36,908.9
2000 04 12 12,0.13,0,0,474.43,26.06,10.5,1280
2000 04 13 12,0.04,0.08,0,479.38,27.5,11.5,1360
2000 04 14 12,7.6,4.03,0,491.77,23.46,7.55,1043.71
2000 04 15 12,12.93,7.5,10.77,216.31,15.43,7.97,1077.8
2000 04 16 12,0.25,2.06,0,469.71,23.86,9.2,1175.88
2000 04 17 12,0,0,0,487.92,28.15,11.79,1383.34
2000 04 18 12,0,0,0,518.55,28,9.47,1197.28
2000 04 19 12,0,0,0,476.28,25.2,9.53,1202.24
2000 04 20 12,0.02,0.01,0,499.51,28,10.5,1280.22
2000 04 21 12,0.12,0,0,476.95,29.5,13.01,1481.79
2000 04 22 12,0.01,0,0,519.75,26.28,7.91,1072.88
2000 04 23 12,0.27,0.57,0,518.32,24.48,6.5,960
2000 04 24 12,6.67,5.89,6.33,354.44,23.5,9,1160
2000 04 25 12,5.53,3.83,11.36,265.04,21,10.88,1310.52
2000 04 26 12,0.32,1.25,0,414.78,19.5,7.38,1030.64
2000 04 27 12,0.23,1.08,0,493.19,22.92,7,1000
2000 04 28 12,3.94,1.53,2.61,405.99,25.5,9.95,1236.08
2000 04 29 12,0.14,0.41,0,487.56,24.91,9,1160
2000 04 30 12,0.01,0,0,508.95,26.5,8.97,1157.77
2000 05 01 12,0,0,0,511.86,26.93,8.98,1158.6
2000 05 02 12,0,0,0,493.28,28.5,11.16,1332.81
2000 05 03 12,0,0.01,0,454.79,29.54,13.84,1587.55
2000 05 04 12,0,0,0,426.3,30,15.5,1760
2000 05 05 12,0,0,0,443.26,29,14,1600.35
2000 05 06 12,0,0,0,463.96,29.5,13.5,1559.23
2000 05 07 12,0,0,0,481.31,30.6,13.5,1556.75
2000 05 08 12,0,0,0,486.04,31.5,14,1597.59
2000 05 09 12,0,0,0,484.97,31.99,14.43,1628.94
2000 05 10 12,0.43,0.39,0,454.88,31.82,15.91,1792.69
2000 05 11 12,0.01,0.13,0,413.55,31,17.22,1955.29
2000 05 12 12,0,0,0,422.35,33,18.5,2120
2000 05 13 12,0.03,0,0,389.31,33.58,20.35,2376.36
2000 05 14 12,2.42,0,0,409.89,33.5,19.5,2278.51
2000 05 15 12,0,0,0,484.98,30.94,13.98,1520.15
2000 05 16 12,0,0,0,457.52,28.81,13.5,1520.46
2000 05 17 12,0,0,0,433.26,29.9,15.5,1754.76
2000 05 18 12,0,0,0,434.03,32.27,17.5,1965.33
2000 05 19 12,0,0,0,438.74,32.49,17.5,1959.08
2000 05 20 12,0,0,0,439.49,33.04,17.98,2009.64
2000 05 21 12,6.91,5.4,0,404.37,33,19.45,2264.75
2000 05 22 12,5.36,4.48,10.93,293.65,30.99,18.39,2111.39
2000 05 23 12,0.08,0.89,0,448.11,32.01,17.01,1918.54
2000 05 24 12,0,0,0,429.79,34.14,19.47,2243.86
2000 05 25 12,0.02,0,0,366.14,34.83,22.49,2718.71
2000 05 26 12,1.93,2.88,0,378.76,35.21,22.31,2689.47
2000 05 27 12,0.39,1.05,2.7,295.92,34.18,22,2640
2000 05 28 12,0.05,0.04,0,379.72,35,22.24,2678.85
2000 05 29 12,0.01,0,0,433.62,32.5,18.22,2042.11
2000 05 30 12,0,0,0,434.34,30,16.26,1834.69
2000 05 31 12,0,0,0,469.72,29.05,14.07,1560.54
2000 06 01 12,0,0,0,495.54,30.99,14.39,1542.77
2000 06 02 12,0,0,0,506.06,34.55,16.5,1722.16
2000 06 03 12,0,0,0,486.81,36.53,18.99,1989.19
2000 06 04 12,0.53,3.5,0,477.15,36.4,19.36,2053.17
2000 06 05 12,7.85,6.1,4.05,332.47,34.75,19.51,2280.16
2000 06 06 12,1.8,1.64,8.18,268.85,30.5,19.51,2280.12
2000 06 07 12,0,0,0,497.47,30.38,13.85,1491.77
2000 06 08 12,0,0,0,483.52,29.49,13.88,1509.31
2000 06 09 12,0,0,0,484.82,31.5,15.41,1659.81
2000 06 10 12,0,0,0,503.62,33,15.5,1636.52
2000 06 11 12,0,0,0,494.5,33.5,16.5,1665.14
2000 06 12 12,0.01,0.36,0,460.04,34,18.5,1937.03
2000 06 13 12,0.37,0.85,0,431.08,35,20.47,2237.89
2000 06 14 12,0.96,1.1,0,449.46,35.95,20.46,2194.01
2000 06 15 12,6.32,1.81,0.15,455.38,36.5,20.5,2111.52
2000 06 16 12,1.69,3.11,4.74,328.02,35,20.05,2291.14
2000 06 17 12,1.9,3.31,6.73,318.56,34.94,20.5,2396.25
2000 06 18 12,2.07,2.45,4.12,316.32,35.03,20.95,2462.58
2000 06 19 12,4.34,2.3,0,416.15,34.5,20.99,2149.91
2000 06 20 12,1.25,2.2,0,407.59,34.94,21.66,2257.07
2000 06 21 12,11.99,11.41,13.46,318.8,35.7,21.19,2410.44
2000 06 22 12,8.12,11.46,8.3,324.01,34.19,21.39,2472.55
2000 06 23 12,6.37,2.84,14.3,319.36,34.8,20.37,2371
2000 06 24 12,0,0.07,0,415.58,34,20.33,2256.1
2000 06 25 12,0.15,1.31,0,408.88,34.5,20.97,2355.22
2000 06 26 12,6.15,5.75,10.7,341.28,34.5,20.01,2289.1
2000 06 27 12,12.76,4.84,9.63,307.44,33,19.5,2280
2000 06 28 12,2.01,2.93,6.01,291.2,32.5,20,2320
2000 06 29 12,10.82,7.32,0,353.62,32.38,21.3,2422.62
2000 06 30 12,8,5.7,13.85,288.62,31.14,19.2,2159.62
2000 07 01 12,1.79,1.16,0,392,32.01,19.98,2088.32
2000 07 02 12,0.4,3.96,0,411.61,32.66,19.95,2033.67
2000 07 03 12,0,1.32,0,409.44,32.5,20,2047.89
2000 07 04 12,0.01,0.78,0,443.35,33.39,19.57,1905.26
2000 07 05 12,2.08,0.26,0,428.28,34.12,20.79,2082.97
2000 07 06 12,0.5,0.45,0,420.39,36,22.52,2315.19
2000 07 07 12,0.18,0.15,0,432.2,36.5,22.5,2278.44
2000 07 08 12,0,0,0,438.35,37.03,22.7,2285.66
