Year Mnth Day Hr,PRCP(mm/day)_nldas,PRCP(mm/day)_maurer,prcp(mm/day)_daymet,srad(W/m2)_daymet,tmax(C)_daymet,tmin(C)_daymet,vp(Pa)_daymet
1999 04 26 12,4.36,4.18,0,176.37,15.68,10.82,1305.61
1999 04 27 12,9.97,12.71,5.12,223.3,18.38,9.93,1234.67
1999 04 28 12,4.91,9.03,12.9,317.29,23.49,10.33,1266.29
1999 04 29 12,10.57,9.82,7.9,258.05,16.39,6.81,988.9
1999 04 30 12,14.94,5.64,12.14,173.88,9.15,3.21,771.82
1999 05 01 12,0,0.98,4.19,342.05,14.82,2.57,736.9
1999 05 02 12,0.25,0,0,541.3,20.97,2.45,731.83
1999 05 03 12,0,0,0,558.9,23.53,3.08,762.41
1999 05 04 12,0,0.49,0,558.42,25.26,4.39,839.05
1999 05 05 12,11.13,33.58,8.72,392.84,25.67,8.23,1100.23
1999 05 06 12,48.95,30.77,40.44,167.89,18.67,12.61,1461.27
1999 05 07 12,13.9,20.66,27.6,216.4,18.95,11.15,1333.11
1999 05 08 12,13.28,4.7,20.5,336.4,21.1,7.95,1076.86
1999 05 09 12,0,0.13,0,518.26,23.58,6.69,980.34
1999 05 10 12,0,0.04,0,531.58,26.2,7.89,1071.35
1999 05 11 12,0.01,1.09,0,495.81,25.79,9.64,1210.82
1999 05 12 12,1.11,0.58,0,475.93,25.82,10.75,1299.79
1999 05 13 12,2.49,2.15,1.77,351.15,22.25,11.46,1357.52
1999 05 14 12,5.06,5.31,6.05,349.75,23.51,9.5,1200.1
1999 05 15 12,1.71,1.54,5.28,319.79,21.65,9.44,1195.57
1999 05 16 12,0.37,0,0,458.79,21.27,7.9,1073.64
1999 05 17 12,0,0.05,0,487.14,24.59,9.55,1203.66
1999 05 18 12,3.26,5.67,0,464.09,24.46,10.49,1278.94
1999 05 19 12,8.21,1.94,6.36,361.51,24.45,9.63,1210.2
1999 05 20 12,0,0.02,0,545.18,24.32,6.05,942.77
1999 05 21 12,0,0.04,0,543.97,25.71,7.24,1025.05
1999 05 22 12,1.32,0.59,0,505.37,25.84,9.87,1229.62
1999 05 23 12,1.38,2.89,2.34,412.9,26.94,13.4,1534.51
1999 05 24 12,1.58,0.92,3.16,375.25,27.53,13.81,1580.52
1999 05 25 12,0,2.31,0,503.31,23.1,7.92,1073.45
1999 05 26 12,4.22,1.58,4.73,353.69,24.03,9.89,1231.53
1999 05 27 12,0.07,0.39,1.26,449,20.46,6.37,961.34
1999 05 28 12,0,0.05,0,537.29,25.05,7.05,1009.17
1999 05 29 12,0,0,0,503.21,24.6,8.5,1120.05
1999 05 30 12,0,0,0,477.17,26.56,11.2,1336.14
1999 05 31 12,0,0,0,473.06,25.97,10.82,1305.91
1999 06 01 12,0,0.23,0,385.07,24,12.75,1472.98
1999 06 02 12,0.89,8.16,0,324.82,23.12,14.05,1607.02
1999 06 03 12,13,3.61,16.69,304.74,26.54,14.62,1666.26
1999 06 04 12,0.11,0.45,0,481.87,28.45,13.25,1521.33
1999 06 05 12,0.36,0.28,0,455.75,27.35,13.34,1532.64
1999 06 06 12,0.29,0.08,0,374.43,25.09,14.32,1635.01
1999 06 07 12,0.11,0.19,0,439.71,26.04,12.75,1473.02
1999 06 08 12,0.9,0.06,0,483.32,29.35,13.61,1558.61
1999 06 09 12,2.42,0.05,0,502.13,30.2,13.34,1536.74
1999 06 10 12,8.45,7.02,0,481.36,30.8,14.91,1695.05
1999 06 11 12,0.32,2.34,11.27,322.77,28.56,15.38,1750.34
1999 06 12 12,0.55,0.03,0,337.04,26.08,16.53,1876.96
1999 06 13 12,0.01,0.08,0,478.07,26.83,11.96,1399.46
1999 06 14 12,0.87,0.99,0,466.3,27.95,13.37,1531.36
1999 06 15 12,14.93,29.65,2.58,322.52,25.83,15.22,1732.11
1999 06 16 12,45.58,29.4,33.95,215.44,23.76,16.01,1818.46
1999 06 17 12,1.36,6.67,22.2,148.58,19.4,14.42,1646.02
1999 06 18 12,0.15,0.04,0,476,24.36,10.45,1276.16
1999 06 19 12,0,0,0,474.17,23.27,9.71,1216.78
1999 06 20 12,0,0.01,0,439.4,23.58,11.51,1360.59
1999 06 21 12,0,0.31,0,404.25,23.35,12.65,1465.77
1999 06 22 12,2.06,0.72,0.31,409.86,25.4,14.03,1605.49
1999 06 23 12,0.4,3.07,0,305.35,23.63,15.92,1805.93
1999 06 24 12,20.8,36.84,10.52,250.61,24.61,16.18,1840.14
1999 06 25 12,27.43,14.12,41.69,113.35,20.62,17.21,1964.53
1999 06 26 12,7.72,10.5,5.14,286.92,25.97,17.23,1967.13
1999 06 27 12,9.46,9.26,14.64,210.11,25.27,18.65,2153.49
1999 06 28 12,7.25,10.17,8.33,228.81,24.6,17.59,2018.7
1999 06 29 12,16.51,5.4,19.11,327.31,29.04,18.03,2072.05
1999 06 30 12,0.07,1.52,1.73,445.28,27.83,15.51,1766.92
1999 07 01 12,0.66,0.21,0,470.62,28.2,15.84,1804.23
1999 07 02 12,6.21,3.14,0,392.92,27.14,17.62,2014.11
1999 07 03 12,4.23,2.29,5.25,339.29,27.34,15.84,1805.57
1999 07 04 12,0.86,1.36,3.03,379.07,28.86,17.23,1967.1
1999 07 05 12,3.18,3.13,2.08,400.11,29.44,17.91,2055.28
1999 07 06 12,1.44,2.65,2.84,373.16,29.78,18.34,2113.41
1999 07 07 12,5.67,5.57,3.61,350.06,29.35,17.92,2058.92
1999 07 08 12,8.97,4.13,4.95,336.63,28.2,16.92,1929.74
1999 07 09 12,0.12,1.12,4.46,412.65,29.03,17.07,1948.89
1999 07 10 12,7.24,7.09,2.53,359.02,28.82,17.91,2053.2
1999 07 11 12,20.63,20.43,11.38,288.05,26.86,18.18,2090.17
1999 07 12 12,15.13,14.64,23.14,247.36,22.2,15.35,1745.36
1999 07 13 12,0.14,3.77,10.15,170.61,18.57,14.26,1628.94
1999 07 14 12,2.76,0.3,2.34,316.68,22.04,15.18,1725.42
1999 07 15 12,0,0,0,448.72,25.17,15.31,1741.05
1999 07 16 12,0.04,0,0,491.53,26.79,14.98,1703.87
1999 07 17 12,1.33,0.62,0,503.24,28.02,15.21,1729.7
1999 07 18 12,1.53,2.89,0,494.54,27.98,15.62,1774.96
1999 07 19 12,0.14,1.58,2.46,420.09,27.76,15.98,1820.69
1999 07 20 12,1.08,0.77,1.28,476.84,29.05,16.08,1830.54
1999 07 21 12,0.29,0.59,0,479.21,30.15,17.9,2052.14
1999 07 22 12,7.81,3.53,8.38,367.63,30.87,18.71,2161.36
1999 07 23 12,0.04,1.13,6.16,369.56,31.43,18.3,2108.47
1999 07 24 12,7.68,4.93,0,481.68,31.88,18.76,2167.99
1999 07 25 12,0.09,1.82,7.52,371.36,31.79,17.64,2018.26
1999 07 26 12,0.03,0.12,0,512.09,32.21,16.82,1910.8
1999 07 27 12,1.8,1.74,0,479.38,31.92,18.13,2086.56
1999 07 28 12,0.25,0.57,2.6,403.47,31.75,16.91,1927.66
1999 07 29 12,0.85,0,0,486.73,31.9,17.47,1998.38
1999 07 30 12,0.01,0,0,487.76,32.43,17.65,2019.62
1999 07 31 12,0,0.01,0,504.59,34.61,18.06,2075.54
1999 08 01 12,0,0,0,495.55,34.79,18.51,2133.57
1999 08 02 12,0.28,0,0,450.82,33.06,19.52,2268.98
1999 08 03 12,0,0,0,445.9,30.66,17.85,2050.96
1999 08 04 12,0,0,0,453.83,28.89,16.05,1827.67
1999 08 05 12,0,0,0,458.97,28.86,15.76,1794.26
1999 08 06 12,0,0,0,481.58,30.34,15.76,1792.08
1999 08 07 12,0,0.04,0,483.37,30.37,15.55,1767.79
1999 08 08 12,2.96,3.04,0,516.54,31.81,14.48,1650.71
1999 08 09 12,0.88,1.01,4.9,373.55,30.73,15.37,1755.05
1999 08 10 12,0.03,0,0,468.44,30.86,16.13,1830.16
1999 08 11 12,0,0,0,469.27,31.33,16.22,1843.25
1999 08 12 12,0.09,0.15,0,461.3,32.05,16.8,1914.49
1999 08 13 12,1.25,6.71,0,460.69,32.63,17.04,1943.78
1999 08 14 12,7.81,2.22,10.12,321.86,32.05,17.87,2051.53
1999 08 15 12,0.06,0.06,0,463.35,31.82,15.99,1817.18
1999 08 16 12,0.03,0.02,0,432.41,30.01,16.01,1817.58
1999 08 17 12,0,0,0,422.1,31.07,17.22,1967.66
1999 08 18 12,0,0,0,451.37,32.24,16.61,1884.15
1999 08 19 12,0.37,0.55,0,462.7,33.57,16.91,1924.16
1999 08 20 12,3.32,3.64,1.65,386.14,31.69,17.25,1970.17
1999 08 21 12,0.03,1.15,5.95,332.81,29.25,14.25,1627.26
1999 08 22 12,0,0.91,0,458.11,28.5,12.91,1489.72
1999 08 23 12,6.38,27.64,0,435.41,28.81,14.17,1619.8
1999 08 24 12,35.46,23.32,33.79,259.74,26.5,15.75,1788.42
1999 08 25 12,8.19,4.82,18.58,186.24,24.07,16.82,1917.72
1999 08 26 12,1.3,0.88,0,309.26,27.56,18.12,2084.75
1999 08 27 12,0.02,0.28,0,451.75,28.89,13.62,1563.6
1999 08 28 12,0.78,0,0,426.24,28.03,14.08,1612.82
1999 08 29 12,0.77,0,0,406.72,28.69,15.48,1759.6
1999 08 30 12,0.11,0,0,386.2,27.33,15.16,1723.68
1999 08 31 12,0.11,0,0,496.48,27.93,10.1,1248.21
1999 09 01 12,0,0,0,488.85,26.46,9.23,1178.18
1999 09 02 12,0,0,0,492.59,28.15,10.04,1242.81
1999 09 03 12,0,0,0,491.1,30.55,11.64,1379.37
1999 09 04 12,0,0,0,480.61,29.53,11.36,1349.88
1999 09 05 12,0,0,0,465.2,30.5,12.9,1482.29
1999 09 06 12,0,0,0,337.45,28.1,16.78,1903.7
1999 09 07 12,0,0,0,425.96,30.83,15.33,1742.23
1999 09 08 12,0.13,0,0,436.32,30.96,14.75,1679.48
1999 09 09 12,0.59,0.28,0,438.49,31.08,14.62,1665.18
1999 09 10 12,0.05,0.09,0.35,371.59,25.25,12.96,1490.49
1999 09 11 12,0,0,0,479.77,27.13,8.71,1136.41
1999 09 12 12,0,0,0,458.24,27.39,10.2,1255.84
1999 09 13 12,0,0,0,469.76,28.58,10.1,1248.3
1999 09 14 12,0,0,0,434.46,27.83,11.65,1373.14
1999 09 15 12,0,0,0,381.28,27.81,14.22,1624.09
1999 09 16 12,0,0,0,363.05,25.76,13.21,1517.07
1999 09 17 12,0,0,0,483.31,24.14,4.88,866.41
1999 09 18 12,0,0,0,483.36,25.15,5.43,901.61
1999 09 19 12,0.07,0.03,0,417.09,23.82,8.54,1123
1999 09 20 12,0.13,0.94,0,426.65,25.07,8.93,1155.34
1999 09 21 12,5.96,3.71,3.61,330.35,24.89,10.58,1286.65
1999 09 22 12,0.04,1.13,7.53,319.36,23.49,7.23,1025.99
1999 09 23 12,0,0,0,461.58,20.35,1.96,704.28
1999 09 24 12,0,0,0,474.09,23.23,2.76,747.17
1999 09 25 12,0,0,0,457.66,24.64,4.82,863.41
1999 09 26 12,0,6.29,0,444.9,25.65,6.33,957.9
1999 09 27 12,8,36.76,12.89,239.48,25.33,12.94,1492.67
1999 09 28 12,51.99,29.19,51.15,103.89,22.22,17.22,1965.86
1999 09 29 12,21.24,13.3,26.72,88.29,22.84,18.65,2155.27
1999 09 30 12,5.18,2.47,12.06,303.71,21.77,5.48,906.08
1999 10 01 12,0.02,0,0,422.66,20.95,3.68,799.46
1999 10 02 12,0,0.41,0,421.55,21.5,4.04,820.25
1999 10 03 12,0,21.87,0,365.26,21.36,7.23,1018.31
1999 10 04 12,43.54,15.42,28.6,208.49,22.55,12.26,1431.71
1999 10 05 12,0.11,2.85,17.88,206.55,19.45,9.62,1209.95
1999 10 06 12,0,0.04,0,343.31,21.84,8.8,1144.2
1999 10 07 12,0,0,0,361.52,21.64,7.6,1049.86
1999 10 08 12,0.02,0.88,0,312.27,19.07,7.62,1049.82
1999 10 09 12,9.27,36.04,3.62,144.41,17.41,11.26,1341.27
1999 10 10 12,84.36,54.41,53.27,85.28,18.58,14.8,1684.27
1999 10 11 12,5.74,16.03,59.17,129.93,18.91,13.02,1497.06
1999 10 12 12,0.88,3.57,1.66,266.31,23.91,13.47,1542
1999 10 13 12,2.18,2.98,4.97,114.45,16.72,11.81,1385.54
1999 10 14 12,2.57,0.67,2.38,209.3,18.95,11.4,1352.16
1999 10 15 12,0.53,0,0,331.77,22.15,10.27,1261.44
1999 10 16 12,0,0,0,345.97,20.06,7.61,1050.31
1999 10 17 12,0,0.13,0,378.58,23.31,8.46,1118.2
1999 10 18 12,0.08,0.06,0,364.54,24.61,10.44,1275.24
1999 10 19 12,0.04,9.41,0,303.34,20.65,10.17,1253.23
1999 10 20 12,25.32,13.21,13.96,96.64,14.18,10.32,1265.36
1999 10 21 12,0.12,3.36,10.7,249.25,13.64,2.5,733.6
1999 10 22 12,0,0,0,391.03,15.86,1.04,658.66
1999 10 23 12,0.02,0,0,408.49,18.81,1.78,693.69
1999 10 24 12,0.01,0,0,350.01,11.1,-0.87,575.44
1999 10 25 12,0,0,0,393.03,12.59,-2.24,520.76
1999 10 26 12,0,0,0,416.8,15.74,-2.24,520.56
1999 10 27 12,0,0,0,415.25,18.94,-0.27,599.68
1999 10 28 12,0,0,0,402.2,21.72,2.81,750
1999 10 29 12,0,0,0,378.38,19.64,3.09,764.25
1999 10 30 12,0.09,0.25,0,379.67,21.01,3.81,804.94
1999 10 31 12,0.53,1.32,0.22,343.87,20.91,6.45,974.79
1999 11 01 12,18.84,52.36,8.4,232.39,21.51,9.18,1174
1999 11 02 12,43.93,17.86,64.08,155.75,15.74,8.58,1126.35
1999 11 03 12,0.67,0.24,0.49,372.34,13.13,-3.53,471.82
1999 11 04 12,0,0.02,0,344.94,9.63,-4.26,447.41
1999 11 05 12,0,0,0,380.31,15.07,-3.05,488.15
1999 11 06 12,0,0.05,0,383.89,18.99,-1.01,569.54
1999 11 07 12,0,0.02,0,368.47,20.9,2.06,710.08
1999 11 08 12,0,0,0,328.09,21.76,6.27,945.71
1999 11 09 12,0,0,0,321.54,21.14,5.7,916.56
1999 11 10 12,0,0,0,330.83,22.28,5.36,900.46
1999 11 11 12,0.32,1,0,299.75,21,6.45,956.06
1999 11 12 12,0.24,0.33,0,294.9,20.51,5.96,929.15
1999 11 13 12,0,0,0,289.44,17.19,3.08,764.98
1999 11 14 12,0,0,0,320.01,21.17,3.73,800.18
1999 11 15 12,0,0,0,323.56,21.97,3.8,802.78
1999 11 16 12,0,0,0,317.45,16.38,-0.72,578.8
1999 11 17 12,0,0,0,322.48,13.02,-4.47,441.57
1999 11 18 12,0,0,0,321.29,13.36,-4.45,442.3
1999 11 19 12,0,0.36,0,308.5,14.48,-2.82,497.34
1999 11 20 12,4.58,8.09,0.5,266.15,15.85,1.68,689.15
1999 11 21 12,6.06,4.51,11.54,109.48,16.6,9.33,1186.02
1999 11 22 12,1.21,0.69,2.74,161.78,17.33,7.64,1053.53
1999 11 23 12,0.59,2.12,0,223.52,18.83,7.25,1022.88
1999 11 24 12,3.38,21.31,3.57,90.11,16.38,10.79,1303.23
1999 11 25 12,42.09,60.4,23.5,102.3,18.2,11.5,1359.81
1999 11 26 12,43.97,21.19,79.48,67.75,15.69,11.52,1361.85
1999 11 27 12,0,1.12,5.59,211.5,14.26,0.35,626.85
1999 11 28 12,0,0,0,284.33,15.9,0.83,643.34
1999 11 29 12,0,0,0,297.58,17.86,1.28,669.09
1999 11 30 12,0,0,0,314.13,13.59,-4.62,437.41
1999 12 01 12,0,0,0,276.07,6.42,-7.64,341.96
1999 12 02 12,0,0,0,289.19,8.34,-7.29,352.81
1999 12 03 12,0,0,0,300.11,13.61,-3.76,459.82
1999 12 04 12,0,0.07,0,274.61,14.61,-0.58,586.76
1999 12 05 12,0.14,11.59,0,272,16.91,1.75,698.72
1999 12 06 12,16.63,3.89,17.64,179.19,16.4,3.82,805.3
1999 12 07 12,0.03,0.01,0,259.59,8.63,-4.76,437.6
1999 12 08 12,0.07,0.3,0,303.95,13.42,-4.62,439.54
1999 12 09 12,0.11,12.21,1.28,279.1,14.32,-2.95,489.76
1999 12 10 12,16.41,6.06,14.84,84.58,11.66,6.38,956.66
1999 12 11 12,0.05,0.84,2.71,226.91,13.08,-1.67,542.43
1999 12 12 12,0.02,10.53,0,266.17,12.99,-1.15,564.52
1999 12 13 12,24.95,43.41,16.39,99.2,12.21,6.01,932.07
1999 12 14 12,36.01,13.39,43.93,150.99,14.14,4.48,844.32
1999 12 15 12,0.15,0.03,0,257.68,9.8,-2.98,490.68
1999 12 16 12,0,0,0,279.27,11.89,-2.74,499.13
1999 12 17 12,0,0.07,0,269.07,8.27,-5.32,413.85
1999 12 18 12,0,0.02,0,292.37,11.38,-4.43,440.23
1999 12 19 12,0.02,1.49,0,264.4,11.85,-1.27,559.84
1999 12 20 12,2.71,3.74,3.28,73.84,9.59,5.49,903.45
1999 12 21 12,10.11,5.05,5.99,137.79,10.9,2.82,749.34
1999 12 22 12,0.58,1.32,5.84,103.29,7.7,1.87,698.76
1999 12 23 12,0.34,0,0,253.91,9.4,-2.41,512.1
1999 12 24 12,0,0.01,0,234.01,7.19,-3.48,476.21
1999 12 25 12,0,0,0,246.56,2.72,-8.64,315.15
1999 12 26 12,0,0,0,283.13,4.44,-9.94,288.02
1999 12 27 12,0,0,0,299.69,11.27,-5.4,413.6
1999 12 28 12,0,0,0,263.13,8.23,-4.73,440
1999 12 29 12,0,0,0,228.08,5.75,-4.57,436.94
1999 12 30 12,0,0,0,294.52,10.52,-4.97,433.59
1999 12 31 12,0,0.27,0,304.72,14.25,-2.78,498.33
2000 01 01 12,0,0.37,0,319.07,16.03,1.53,681.37
2000 01 02 12,0,0.97,0,228.71,15.36,5.87,925.29
2000 01 03 12,0.48,8.43,0.17,173.83,16.23,8.93,1154.79
2000 01 04 12,18.44,4.31,13.15,83.16,15.39,10.9,1311.6
2000 01 05 12,0,0.53,6.22,259.8,13.47,-4.2,451.42
2000 01 06 12,0,0,0,304.22,7.04,-6.77,367.81
2000 01 07 12,0,0.5,0,313.92,9.31,-5.65,404.43
2000 01 08 12,0.08,9.62,0,309.19,10.72,-3.75,463.07
2000 01 09 12,14.58,35.69,16.32,174.7,9.79,0.46,627.31
2000 01 10 12,42.54,10.85,47.68,141.03,11.27,4,816.21
2000 01 11 12,0,0,0,307.68,14.66,0.13,610.62
2000 01 12 12,0,0.87,0,337.89,17.22,-1.4,556.55
2000 01 13 12,1.54,0.29,1.26,337.24,17.26,-1.6,547.55
2000 01 14 12,0.17,0,0,356.59,16.37,-5.6,405.23
2000 01 15 12,0,0.39,0,306.64,5.26,-8.06,329
2000 01 16 12,1.13,0.39,0.5,311.74,9.15,-4.69,439.61
2000 01 17 12,0.45,7.14,0.4,276.27,10.81,-0.46,590.47
2000 01 18 12,10.59,4.21,9.49,218.58,10.43,-1.89,534.51
2000 01 19 12,1.25,3.65,1.65,246.44,8.93,-1.98,522.17
2000 01 20 12,7.36,1.01,7.05,168.6,6.47,-2,529.84
2000 01 21 12,0,0,0,296.03,2.28,-9.43,296.83
2000 01 22 12,1.38,19.07,0,239.45,0.95,-7.79,338.99
2000 01 23 12,12.02,7.01,25.15,128.18,1.24,-4.64,440
2000 01 24 12,4.12,0.33,9.93,145.44,2.15,-3.98,459.6
2000 01 25 12,0.22,0.04,0,253.24,1.66,-7.35,351.75
2000 01 26 12,0.01,0,0,289.06,0.43,-10.17,282.03
2000 01 27 12,0.02,0,0,327.74,-1.27,-14.05,208.27
2000 01 28 12,0,10.86,0,338.77,3.69,-9.9,285.56
2000 01 29 12,3.25,9.56,11.48,173.3,2.73,-4.99,423.59
2000 01 30 12,13.47,2.19,12.64,152.25,2.05,-4.1,454.96
2000 01 31 12,0.39,0.07,1.71,253.91,1.38,-7.14,356.85
2000 02 01 12,0,0,0,304.17,2,-8.37,323.8
2000 02 02 12,0.48,0,0,379.18,5.2,-9.75,290.99
2000 02 03 12,0,0,0,395.57,8.27,-8.84,313.36
2000 02 04 12,0,0,0,403.09,11.37,-6.52,376.92
2000 02 05 12,0.03,0,0,322.69,5.5,-5.7,401.57
2000 02 06 12,0,0,0,383.3,7.47,-7.43,351.14
2000 02 07 12,0,0,0,396.3,10.72,-5.42,406.27
2000 02 08 12,0,0,0,372.53,11.81,-2.46,511.9
2000 02 09 12,0,0,0,383.58,10.61,-4.41,442.16
2000 02 10 12,0,0.12,0,415.38,14.53,-3.78,458.65
2000 02 11 12,0,8.3,0,402.47,17.05,-0.1,606.4
2000 02 12 12,18.3,14.98,13.02,276.45,18.67,3.94,813.4
2000 02 13 12,1.64,19.4,15.07,176.04,10.37,2.92,752.96
2000 02 14 12,32.24,5.13,25.12,170.72,9.15,2.21,718.89
2000 02 15 12,0.01,0.01,0,418.61,14.96,-2.46,511.38
2000 02 16 12,0,0,0,422.21,17.24,-0.98,564.9
2000 02 17 12,0.07,4.09,0,427.88,21.31,1.61,688.45
2000 02 18 12,5.34,2.88,5.71,269.82,14.91,1.91,701.38
2000 02 19 12,5.5,0.51,2.99,271.57,13.85,2.28,722.83
2000 02 20 12,0,0,0,429.3,14.64,-3.57,465.82
2000 02 21 12,0,0,0,417.41,11.38,-5.25,415.11
2000 02 22 12,0.02,0.05,0,417.9,13.04,-4.01,447.78
2000 02 23 12,0,0.02,0,373.62,13.01,-0.98,571.31
2000 02 24 12,0,0,0,387.27,16.57,1.34,669.69
2000 02 25 12,0,0,0,351.03,17.85,4.65,851.86
2000 02 26 12,0,5.64,0,397.23,21.41,5.02,881.82
2000 02 27 12,13.71,7.5,10.64,264.31,19.6,6.28,959.47
2000 02 28 12,0.04,1.87,9.25,299.94,13.41,0.28,620.28
2000 02 29 12,0.02,0.94,0,443.05,17.96,-1.8,538.05
2000 03 01 12,0,0,0,429.96,18.87,0.18,616.49
2000 03 02 12,0,0.2,0,417.96,19.91,2.06,709.53
2000 03 03 12,0.71,1.18,0,436.42,19.63,0.33,627.53
2000 03 04 12,3.29,0.98,3.84,281.96,17.95,3.9,805.75
2000 03 05 12,0,0.2,0.13,433.4,17.9,-0.77,578.48
2000 03 06 12,0,0,0,451.84,20.74,0.45,628.11
2000 03 07 12,0,0,0,459.35,22.98,1.53,681.24
2000 03 08 12,0,0,0,460.19,24.88,3.12,766
2000 03 09 12,0.06,1.57,0,443.82,26.25,5.82,922.97
2000 03 10 12,0.19,19.27,0,389.35,21.52,5.89,928.64
2000 03 11 12,39.35,13.96,23.58,278.92,21.63,6.97,1008.45
2000 03 12 12,1.98,2.57,18.29,311.49,14.85,-1.43,553.93
2000 03 13 12,0.04,0,0,416.01,9.79,-5.85,396.14
2000 03 14 12,0,0,0,432.34,12.75,-4.19,449.46
2000 03 15 12,0.23,17.87,0,422.51,16.3,-0.5,597.03
2000 03 16 12,33.58,21.29,25.56,231.23,16.52,5.36,908.9
2000 03 17 12,4.54,5.11,24.33,204.77,14.98,5.6,919.1
2000 03 18 12,0.45,9.37,0,394.57,13.05,-1.17,563.01
2000 03 19 12,1.05,35.28,12.46,172.78,8,0.76,646.55
2000 03 20 12,47.18,10.93,51.82,185.96,10.87,2.95,758.64
2000 03 21 12,0.27,0.07,0,427.16,17.43,1.92,705.4
2000 03 22 12,0,0,0,479.85,19.99,0.71,645.93
2000 03 23 12,0,0,0,478.77,22.05,2.74,746.26
2000 03 24 12,0.06,0,0,472.77,21.74,2.96,756.57
2000 03 25 12,0.19,0.58,0,472.89,22.61,3.74,800.33
2000 03 26 12,0.03,1.09,0,438.12,23.61,6.88,995.75
2000 03 27 12,4.59,2.24,0,479.92,23.2,3.82,805.45
2000 03 28 12,0.22,0.98,4.19,336.87,16.41,-0.21,601.57
2000 03 29 12,0.44,0.26,0,476.24,17.95,-0.51,589.18
2000 03 30 12,0.67,0.13,0.53,326.05,13.83,3.26,775.77
2000 03 31 12,0.06,0.07,0.05,396.06,20.85,7.02,1001.41
2000 04 01 12,0,23.17,0,433.34,20.42,5.08,879.27
2000 04 02 12,32.44,54,36.32,234.74,19.03,8.9,1151.97
2000 04 03 12,58.71,27.74,52.86,141.53,16.54,10.86,1308.72
2000 04 04 12,24.91,4.11,23.13,306.54,19.06,5.49,915.27
2000 04 05 12,0.18,0,0,446.09,13.1,-1.18,563.44
2000 04 06 12,0.07,0,0,523.42,19.78,0.24,619.31
2000 04 07 12,0.08,0.48,0,530.82,25.6,4.37,833.43
2000 04 08 12,1.42,0.18,1,522,26.41,5.87,928.71
2000 04 09 12,0.33,0.01,0,498.51,14.17,-2.64,504.83
2000 04 10 12,0,0,0,518,17.52,-0.94,565.21
2000 04 11 12,0.34,0.81,0,513.4,21.14,2.5,727.3
2000 04 12 12,0.36,8.97,0.95,449.2,21.54,6.69,974.98
2000 04 13 12,12.65,4.63,11.31,303.55,19.59,6.91,1000.6
2000 04 14 12,5.4,5.53,2.82,136.6,10.11,5.99,921.63
2000 04 15 12,10,3.95,7.67,227.7,16.22,7.7,1056.22
2000 04 16 12,2.74,1.03,4.73,325.81,21.3,7.64,1054.6
2000 04 17 12,0.54,0.21,0,499.5,24.81,7.43,1039.26
2000 04 18 12,0.14,0.04,0,475.75,22.69,6.73,982.4
2000 04 19 12,0,0.07,0,507.78,22.73,4.74,859.03
2000 04 20 12,0.02,0.34,0,521.24,26.05,6.53,965.2
2000 04 21 12,0.77,0.11,0.13,530.3,27.03,6.4,974.37
2000 04 22 12,0.03,0,0,404.65,15.18,3.09,766.28
2000 04 23 12,0.19,6.28,0,486,18.07,2.33,724.24
2000 04 24 12,10.46,12.78,8.42,358.85,21.09,5.4,903.29
2000 04 25 12,11.45,3.93,16.78,129.47,12.69,8.17,1095.71
2000 04 26 12,0.52,0.43,0.08,371,15.17,4.89,868.63
2000 04 27 12,0.09,6.58,0,547.36,19.76,0.9,651.35
2000 04 28 12,12.18,2.17,10.77,375.66,20.03,4.03,811.85
2000 04 29 12,1.04,0,0,480.74,18.49,3.76,804.03
2000 04 30 12,0.13,0,0,541.9,22.02,3.15,767.11
2000 05 01 12,0,0.39,0,548.32,24.7,4.74,859.72
2000 05 02 12,0.63,2.52,0,515.11,26.01,7.92,1073.23
2000 05 03 12,0.15,14.65,0,464.51,25.41,9.98,1238.45
2000 05 04 12,19,5.97,29.38,261.23,23.01,12.45,1443.35
2000 05 05 12,0.01,0.45,2.05,390.83,22.81,9.61,1208.97
2000 05 06 12,0,0,0,487.06,26.13,9.72,1217.42
2000 05 07 12,0,0,0,505,27.4,9.88,1230.06
2000 05 08 12,0,0,0,484.51,27.47,11.19,1335.18
2000 05 09 12,0,0.05,0,490.99,27.52,10.95,1315.77
2000 05 10 12,0.65,0.02,0,468.86,27.42,12.07,1406.03
2000 05 11 12,0.01,0.01,0,550.03,27.04,6.8,990.28
2000 05 12 12,0,0,0,501.61,29.03,11.59,1367.4
2000 05 13 12,0,0,0,457.13,30.08,14.69,1673.63
2000 05 14 12,0,0,0,512.95,28.55,10.1,1247.72
2000 05 15 12,0,0,0,499.82,24.38,7.25,1026.57
2000 05 16 12,0,0,0,497.45,22.43,5.68,916.29
2000 05 17 12,0,0,0,434.63,23.36,9.52,1201.88
2000 05 18 12,0,0,0,401.27,24.83,12.23,1418.11
2000 05 19 12,0.7,1.69,0,448.72,28.83,13.76,1573.19
2000 05 20 12,1.42,7.53,3.51,334.27,28.15,15.58,1767.27
2000 05 21 12,10.04,5.23,15,257.45,26.13,15.78,1792.47
2000 05 22 12,1.61,1.47,1.96,367.63,24.41,12.18,1424.5
2000 05 23 12,2.4,3.17,0.48,437.69,24.55,10.79,1303.18
2000 05 24 12,9.95,3.08,5.57,274.2,25.29,14.44,1643.2
2000 05 25 12,8.7,1.36,0.73,357.66,27.47,16.02,1817.67
2000 05 26 12,0.34,2.6,2.15,393.13,27.99,13.46,1540.93
